FolderNumber,Category,Type,Subject,Status,Latitude,Longitude,URL,KMLDescription
LA000074,Development,Liquor Licence Application,Queens Hotel,COMPLETED,49.1636717,-123.9355801,https://www.nanaimo.ca/whatsbuilding/folder/LA000074,TYPE: Liquor Licence Application   SUBJECT: Queens Hotel   STATUS: COMPLETED
DP000767,Development,Development Permit,6543 Portsmouth Road,COMPLETED,49.2388824,-124.0467724,https://www.nanaimo.ca/whatsbuilding/folder/DP000767,TYPE: Development Permit   SUBJECT: 6543 Portsmouth Road   STATUS: COMPLETED
BOV00592,Development,Board of Variance,6105 Janelle Place,COMPLETED,49.2382032,-124.0359850,https://www.nanaimo.ca/whatsbuilding/folder/BOV00592,TYPE: Board of Variance   SUBJECT: 6105 Janelle Place   STATUS: COMPLETED
DP000768,Development,Development Permit,6199 Nitinat Way,COMPLETED,49.2381148,-124.0311996,https://www.nanaimo.ca/whatsbuilding/folder/DP000768,TYPE: Development Permit   SUBJECT: 6199 Nitinat Way   STATUS: COMPLETED
DP000766,Development,Development Permit,1099 Bruce Avenue,COMPLETED,49.1355479,-123.956612,https://www.nanaimo.ca/whatsbuilding/folder/DP000766,TYPE: Development Permit   SUBJECT: 1099 Bruce Avenue   STATUS: COMPLETED
TUP00018,Development,Temporary Use Permit,867 Bruce Avenue,COMPLETED,49.1445235,-123.9514122,https://www.nanaimo.ca/whatsbuilding/folder/TUP00018,TYPE: Temporary Use Permit   SUBJECT: 867 Bruce Avenue   STATUS: COMPLETED
DVP00187,Development,Development Variance Permit,435 Terminal Avenue,COMPLETED,49.1764595,-123.9474481,https://www.nanaimo.ca/whatsbuilding/folder/DVP00187,TYPE: Development Variance Permit   SUBJECT: 435 Terminal Avenue   STATUS: COMPLETED
DP000769,Development,Development Permit,265 Howard Avenue,COMPLETED,49.164249,-123.9574619,https://www.nanaimo.ca/whatsbuilding/folder/DP000769,TYPE: Development Permit   SUBJECT: 265 Howard Avenue   STATUS: COMPLETED
DP000770,Development,Development Permit,4750 Rutherford Road,COMPLETED,49.2175560,-124.0291289,https://www.nanaimo.ca/whatsbuilding/folder/DP000770,TYPE: Development Permit   SUBJECT: 4750 Rutherford Road   STATUS: COMPLETED
RA000288,Development,Rezoning Application,2560 Bowen Road and Parts of 2020 Labieux Road (1900 and 2200 Labieux),COMPLETED,49.203343,-123.9999531,https://www.nanaimo.ca/whatsbuilding/folder/RA000288,TYPE: Rezoning Application   SUBJECT: 2560 Bowen Road and Parts of 2020 Labieux Road (1900 and 2200 Labieux)   STATUS: COMPLETED
