Province,Filename,Provider Name,Data Page Link,License or Terms of Use,Date Last Updated,Description,Open,In Previous Version,Region,Region Type,Open Data Portal Link,Format,Direct Link,Direct Link to Data,Notes,Attribution Statement,Date accessed,Action,Included in Database
AB,AB_health_facilities,Alberta Health Services,https://www.albertahealthservices.ca/findhealth/results.aspx?type=facility&id=3&locationCity=Athabasca&radius=all#contentStart,https://www.albertahealthservices.ca/about/Page635.aspx,Not listed,Hospitals and healthcare facilities in Alberta,No,No,Alberta,Provincial,No Open License,NA,NA,No,"List of hospitals, clinics, emergency care, community centres",© Alberta Health Services 2023 ,21-Nov,Scrape,Yes
AB,AB_Calgary_covid_vaccination_centres,City of Calgary,https://data.calgary.ca/Health-and-Safety/COVID-19-Vaccination-Locations/9kkc-pfd6,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,13-Nov-21,Covid vaccination centres,Yes,No,Calgary,Municipal,https://data.calgary.ca/,csv,https://data.calgary.ca/api/views/ynek-qdgh/rows.csv?accessType=DOWNLOAD,Yes,Alberta pharmacy and AHS clinics,Contains information licensed under the Open Government Licence – City of Calgary.,21-Nov,Direct download,No
AB,AB_Calgary_healthcare_facilities,City of Calgary,https://data.calgary.ca/Services-and-Amenities/Calgary-Health-Clinics-and-Hospitals/tsqf-wjr5,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,03-Nov-21,Hospitals and healthcare facilities in Calgary,Yes,No,Calgary,Municipal,https://data.calgary.ca/,csv,https://data.calgary.ca/api/views/x34e-bcjz/rows.csv?query=select%20*%20where%20(%60type%60%20%3D%20%27PHS%20Clinic%27%20OR%20%60type%60%20%3D%20%27Hospital%27)&read_from_nbe=true&version=2.1&accessType=DOWNLOAD,Yes,"Hospitals, clinics",Contains information licensed under the Open Government Licence – City of Calgary.,21-Nov,Direct download,Yes
AB,AB_hospital_services,Province of Alberta,https://open.alberta.ca/publications/hospital-services-in-alberta,https://open.alberta.ca/licence,01-Jul-18,Hospital and healthcare services in Alberta,Yes,Yes,Alberta,Provincial,https://open.alberta.ca/licence,PDF,https://open.alberta.ca/dataset/17cd1980-a2d0-4a10-8517-dd3f2b6dc777/resource/95e871b2-69b9-4858-8f44-a67711df2c31/download/hospital-services-alberta-2018-07.pdf,No,PDF list of hospital and health centres in Alberta based on data from Alberta Health Service,Contains information licensed under the Open Government Licence – Alberta.,21-Nov,Contact,Yes
BC,BC_urgent_care,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/urgent-and-primary-care-centres,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2021-10-28,Urgent care centres in British Columbia,Yes,No,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/615546e0-2cff-4c6d-9ba6-097d57527f53/resource/5c9498df-5f51-486b-a629-312fe20a2a79/download/hlbc_urgentandprimarycarecentres.csv,Yes,Published By HealthLinkBC,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
BC,BC_pharmacies,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/after-hours-pharmacies-in-bc,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2021-10-28,Pharmacies in British Columbia,Yes,No,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/f5b6bfad-d06a-4952-ae47-976fb5092bcc/resource/681b4fa5-13a5-4273-a189-fc101f0f8356/download/hlbc_pharmacies.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,No
BC,BC_emergency_rooms,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/emergency-rooms-in-bc,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2021-10-28,Emergency rooms in British Columbia,Yes,Yes,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/88e982b2-0799-4e17-b000-9961ea05b0f0/resource/4b834874-089f-4512-b001-8534e597a1b6/download/hlbc_emergencyrooms.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
BC,BC_hospital,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/hospitals-in-bc,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2021-10-28,Hospitals and healthcare facilities in British Columbia,Yes,Yes,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/383eaf98-afd7-436a-9556-67ecf14f64a7/resource/5ff82cf4-0448-4063-804a-7321f0f2b4c6/download/hlbc_hospitals.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
BC,BC_walk-in_clinics,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/walk-in-clinics-in-bc,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2021-10-28,Walk-in clinics in British Columbia,Yes,Yes,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/5e2707c3-0aa4-4d2d-aedc-4dd0914b686a/resource/3ca6b086-c92b-4654-ae82-ff5723d00611/download/hlbc_walkinclinics.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
BC,BC_residential_care_,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/residential-care-facilities,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2019-08-12,Residential care facilities in British Columbia,Yes,Yes,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/f4d45e1d-1fb3-4a5b-ae12-7e6afe89e645/resource/75b329ef-1f29-4c03-a35b-03b3666dee1d/download/gsr_residential_care.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
BC,BC_assisted_living_residences,Province of British Columbia,https://catalogue.data.gov.bc.ca/dataset/assisted-living-residences,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,2019-08-12,Assisted living residences in British Columbia,Yes,No,British Columbia,Provincial,https://catalogue.data.gov.bc.ca,csv,https://catalogue.data.gov.bc.ca/dataset/095c3e0b-e825-4e4b-805e-e40ff763a198/resource/4d948346-1c99-4d7a-84d4-b14454673e3c/download/gsr_assisted_living_registry.csv,Yes,,Contains information licensed under the Open Government Licence – British Columbia.,21-Nov,Direct download,Yes
CIHI,CIHI_healthcare_facilities,Canadian Institute for Health Information,NA,,Not listed,Healthcare facilities in Canada,No,Yes,Canada,National,NA,NA,NA,No,Contacted,,21-Dec,Contact,Yes
MB,MB_Interlake_health_facilities,Interlake-Eastern Regional Health Authority,https://www.ierha.ca/default.aspx?cid=6147&lang=1,https://www.ierha.ca/conditions-of-use/,Not listed,Locations of facilities managed by the Interlake-Eastern Regional Health Authority,No,Yes,Interlake-Eastern Region,Municipal,No Open License,NA,NA,No,List of 10 hospitals and clinics,©1999 - 2023 Interlake Eastern RHA. All Rights Reserved.,21-Nov,Contact,Yes
MB,MB_Northern_health,Northern Health Region,https://northernhealthregion.com/our-locations,Not found,Not listed,Locations of facilities managed by the Northern Health Region,No,Yes,,Municipal,No Open License,NA,NA,No,List of health facilities,© 2023 Northern Health Region. northernhealthregion.com,21-Nov,Scrape,Yes
MB,MB_Prairie_mountain_health,Prairie Mountain Health,https://www.prairiemountainhealth.ca/our-locations,https://www.prairiemountainhealth.ca/disclaimer,Not listed,Locations of facilities managed by the Prairie Mountain Health Authority,No,Yes,Manitoba,Municipal,No Open License,NA,NA,No,Map of health facilities,© Prairie Mountain Health 2013 - 2023,21-Nov,Scrape,Yes
MB,NA,Southern Health,https://www.southernhealth.ca/en/finding-care/,https://www.southernhealth.ca/en/disclaimer/,Not listed,Locations of facilities managed by the Southern Health Authority,No,Yes,South of Winnipeg,Municipal,No Open License,NA,NA,No,Map of health facilities - little information provided,Copyright © 2023 Southern Health-Santé Sud,21-Nov,Scrape,No
MB,MB_Winnipeg_long_term_care,Winnipeg Regional Health Authority,https://wrha.mb.ca/long-term-care/pchs-in-winnipeg,https://wrha.mb.ca/terms-of-use/,Not listed,Locations of long term care facilities managed by the Winnipeg Regional Health Authority,No,No,Winnipeg,Municipal,No Open License,NA,NA,No,"Lists of health facilities split into service types: Hospitals, Personal care homes, health centres, walk-in clinics.",© 2023 Winnipeg Regional Health Authority ,21-Nov,Scrape,Yes
MB,MB_Winnipeg_health_facilities,Winnipeg Regional Health Authority,https://wrha.mb.ca/locations-services/,https://wrha.mb.ca/terms-of-use/,Not listed,Locations of  healthcare facilities managed by the Winnipeg Regional Health Authority,No,Yes,Winnipeg,Municipal,No Open License,NA,NA,No,"Lists of health facilities split into service types: Hospitals, Personal care homes, health centres, walk-in clinics.",© 2023 Winnipeg Regional Health Authority ,21-Nov,Scrape,Yes
MB,MB_personal_care_homes,Province of Manitoba,https://geoportal.gov.mb.ca/datasets/manitoba-licensed-personal-care-homes/explore,https://www.gov.mb.ca/legal/copyright.html," January 29, 2021",Personal care homes in Manitoba,Yes,No,Manitoba,Provincial,https://geoportal.gov.mb.ca/,csv,https://opendata.arcgis.com/api/v3/datasets/c808676f98cf4fc4ad56e9c8c6bbc9d0_0/downloads/data?format=csv&spatialRefId=3857,Yes,,"Contains information from the Manitoba government, licensed under the OpenMB Information and Data Use Licence (Manitoba.ca/OpenMB)",21-Nov,Direct download,Yes
MB,MB_covid-19_and_flu_vaccine_sites,Province of Manitoba,https://geoportal.gov.mb.ca/datasets/manitoba-covid-19-and-flu-vaccination-sites-1/explore?location=50.975321%2C-96.701879%2C6.36,https://www.gov.mb.ca/legal/copyright.html,02-Dec-21,COVID-19 and flu vaccine sites in Manitoba,Yes,No,Manitoba,Provincial,https://geoportal.gov.mb.ca/,csv,https://opendata.arcgis.com/api/v3/datasets/88811307c35d48b48a7fe73c0e0e3cc5_0/downloads/data?format=csv&spatialRefId=3857,Yes,,"Contains information from the Manitoba government, licensed under the OpenMB Information and Data Use Licence (Manitoba.ca/OpenMB) ",21-Nov,Direct download,No
NB,NB_hospital_horizon,Horizon Regional Health Authority (Province of New Brunswick),https://gnb.socrata.com/Health-and-Wellness/Hospitals-in-New-Brunswick-Operated-by-Horizon-Hea/9bqr-479n,http://www.snb.ca/e/2000/data-E.html,07-Jan-21,Hospitals in New Brunswick operated by Horizon Health Network,Yes,Yes,New Brunswick,Provincial,https://gnb.socrata.com/,csv,https://gnb.socrata.com/api/views/9bqr-479n/rows.csv?accessType=DOWNLOAD,Yes,Hospitals in New Brunswick Operated by Horizon Health Network,Contains information licensed under the Open Government Licence – New Brunswick.,21-Nov,Direct download,Yes
NB,NB_nursing_homes,Province of New Brunswick,https://gnb.socrata.com/Health-and-Wellness/Licensed-Nursing-Homes-Foyers-de-soins-agr-es/efvh-czff,http://www.snb.ca/e/2000/data-E.html,04-Jan-21,Nursing homes in Newbrunswick,Yes,No,New Brunswick,Provincial,https://gnb.socrata.com/,csv,https://gnb.socrata.com/api/views/efvh-czff/rows.csv?accessType=DOWNLOAD,Yes,,Contains information licensed under the Open Government Licence – New Brunswick.,21-Nov,Direct download,Yes
