Roll_No,Application_Year,Building_Permit_No,Develop__Permit__No,Date_Received,Status,Date_Of_Decision,Date_Permit_Expires,Date_Of_Occupancy_Permit,Lot,Block,Plan,Unit_No,Street_No,Street_Name,Building_Name,Business_Name,Description,No_Of_Existing_Dwelling_Units,No_Of_New_Dweling_Units,Value_of_Construction,Permit_Fee,SCC_Fee,Comments,Processing_Time
000001,1990,1,90DP06,19900306,Received - In Review,,,,13B,2,811032,,5,Cascade Ct,,,SFD,,,,,,Residential,May  03/11  May  03/11
000135,1990,2,90DP04,19900205,,,,,1-2,7,6719 B.C.,,202,Banff Ave,,,Comm Reno,,,0.0000000,644.8000000,,Commercial,Aug 8/Aug 16
087602,1990,3,90DP02,19900315,,,,,12B,2,8811032,,2,Cascade Ct,,,SFD,,,,,,Residential,
085401,1990,7,90DP30,19900205,,,,,9,1,,,117,Glen Cres,,,Res Reno,,,,,,Residential,
000630,1990,8,90DP32,19900501,,,,,12,35,,,202,Grizzly St,,,Res Reno,,,,,,Residential,
000129,1990,9,90DP48,19900501,,,,,21,6,,,220,Bear St,,,Comm Reno,,,,,,Commercial,
001218,1990,10,,19900501,,,,,1-3,1,42952,,102,Spray Ave,,,Inst Reno,,,,,,Institutional,
000306,1990,11,90DP17,19900501,,,,,4,16,6719 B.C.,,334,Muskrat St,,,Duplex,,,,,,Residential,
000899,1990,12,90DP29,19900501,,,,,4,9,6719 B.C.,,133,Rainbow Ave,,,Res Reno,,,,,,Residential,
000118,1990,13,,19900601,,,,,1-3,6,6719 B.C.,,201,Banff Ave,,,Demo,,,120000.0000000,173.2000000,,Commercial,
000016,1990,14,90DP23,19900401,,,,,20,1,,,138,Bear St,,,Comm Reno,,,,,,Commercial,
000493,1990,15,90DP27,19900601,,19900601,,,1,24,,,402,Otter St,,,Demo,,,,119.2500000,,Residential,
Pinewoods,1990,16,,19900601,,19900601,,,,,,,720,Banff Ave,,,Demo,,,,927.2000000,,Commercial,
000048,1990,17,90DP33,19900501,,,,,10,3,6719 B.C.,,114,Beaver St,,,Demo,,,,84.1500000,,Residential,
000048,1990,18,90DP33,19900501,,19900601,,,10,3,6719 B.C.,,114,Beaver St,,,Apartment,,,300000.0000000,1650.0000000,,Residential,
121110,1990,19,90DP34,19900501,,,,,29,13,70784,,218,Springs Cres,,,SFD,,,120000.0000000,,,Residential,
000926,1990,20,90DP11,19900501,,,,,16,7,2221 C.N.,,121,Cave Ave,,,Res Reno,,,13000.0000000,,,Residential,
000493,1990,21,90DP27,19900501,,19900601,,,1,24,43510 CLSR,,402,Otter St,,,Duplex,,,200000.0000000,1100.0000000,,Residential,
086803,1990,22,90DP28,19900401,,19900501,,,4C,2,8810817,,104,Mountain Lane,,,SFD,,,130000.0000000,,,Residential,
000830,1990,23,90DP42,19900501,,19900601,,,9,B,50017,,501,Buffalo St,,,Res Addition,,,5000.0000000,50.0000000,,Residential,
000860,1990,24,,19900627,,19900601,,,21-27,1,,,400,Spray Ave,BSH Clubhouse,,Comm Reno,,,300000.0000000,1800.0000000,,Commercial,
000612,1990,25,90DP46,19900624,,19900701,,,3,34,6917 B.C.,,120,Grizzly St,,,Duplex,,,170000.0000000,935.0000000,,Residential,
000864,1990,26,90DP35,19900502,,,,,2-6,2,2020 I.D.,,114,Mountain Ave,,,Res Addition,,,100000.0000000,,,Residential,
000015,1990,27,90DP14,19900501,,,,,17-19,1,6719 B.C.,,137,Banff Ave,King Edward Hotel,,Comm Reno,,,,,,Commercial,
000015,1990,28,90DP14,19900705,,19900701,,,17-19,1,6719 B.C.,,137,Banff Ave,The Fine Grind,,Comm Reno,,,80000.0000000,455.0000000,,Commercial,
000015,1990,29,,19900622,,19900701,,,17-19,1,6719 B.C.,,137,Banff Ave,Thaise,,Comm Reno,,,50000.0000000,305.0000000,,Commercial,
000179,1990,30,90DP22,19900713,,19900701,,,3,9,6719 B.C.,,206,Muskrat St,,,Res Reno,,,50000.0000000,300.0000000,,Residential,
001128,1990,31,90DP37,19900627,,19900701,,,"1-3, 8-10",59,52744 CLSR,,200,Hawk Ave,,,Comm Reno,,,28000.0000000,195.0000000,,Commercial,
002004,1990,32,90DP49,19900703,,19900701,,,12,A,,,131,Lynx St,Whyte Museum,,Inst Reno,,,546.0000000,60.0000000,,Institutional,
000200,1990,33,90DP57,19900627,Received - In Review,19900701,,,26,9,6719 B.C.,,209,Otter St,,,Res Reno,,,20000.0000000,100.0000000,,Residential,
120901,1990,34,90DP09,19900619,,,,,DE,66795 CLSR,8010639,,,St Julien Rd,,,Inst Addition,,,800000.0000000,,,Institutional,
001118,1990,35,90DP26,19900606,,19900701,,,8,58,3939 J.K.,,114,Eagle Cres,,,Comm Reno,,,,120.0000000,,Commercial,
000015,1990,36,,19900712,,19900701,,,17-19,1,6719 B.C.,,137,Banff Ave,,,Comm Reno,,,120000.0000000,720.0000000,,Commercial,
001136,1990,37,90DP50,19900522,,,,,1-10,59,52744 CLSR,,147,Eagle Cres,,,Comm Reno,,,,,,Commercial,
001279,1990,38,,19900617,,19900701,,,12,25,8911519,,207,Jasper Way,,,Res Reno,,,500.0000000,50.0000000,,Residential,
001296,1990,39,,,,,,,11,26,72475,,117,Glacier Dr,,,Res Reno,,,300.0000000,1.0000000,,Residential,
000666,1990,39,,19900701,,19900801,,,18,56,2842 I.G.,,321,Squirrel St,,,Res Reno,,,3000.0000000,50.0000000,,Residential,
121107,1990,39,,19900417,,,,,27,13,,,214,Springs Cres,,,Residential,,,3000.0000000,,,Residential,
001271,1990,40,90DP73,19900724,,19900801,,,4,25,8911519,,107,Glacier Dr,,,Res Reno,,,15000.0000000,75.0000000,,Residential,
000127,1990,41,,19900802,,19900801,,,15,6,6719 B.C.,,229,Banff Ave,,,Comm Reno,,,20000.0000000,155.0000000,,Commercial,
000029,1990,42,,1990073,,19900801,,,11-12,2,6719 B.C.,,122,Banff Ave,,,Comm Reno,,,300000.0000000,1800.0000000,,Commercial,
000684,1990,43,90DP62,19900723,,,,,22,57,,,407,Cougar St,,,Institutional,,,0.0000000,,,Institutional,
000860,1990,44,,19900718,,19900801,,,21,1,8560,,400,Spray Ave,,,Comm Reno,,,1076820.0000000,6462.0000000,,Commercial,
002019,1990,45,90DP54,19900717,,19900801,,,1-16,54,6719 B.C.,,325,Squirrel St,,,Temorary Portable,,,75000.0000000,450.0000000,,Institutional,
000912,1990,46,90DP55,19900626,,19900801,,,20,4,5740,,126,Park Ave,,,Garage,,,6000.0000000,50.0000000,,Residential,
000514,1990,47,90DP56,19900808,,19900801,,,5,26,6719 B.C.,,212,Otter St,,,Duplex,,,162000.0000000,891.0000000,,Residential,
001218,1990,48,,19900815,,19900801,,,1-3,1,42952,,102,Spray Ave,,,Inst Reno,,,4200.0000000,80.0000000,,Institutional,
000514,1990,49,,1990082,,19900801,,,5,26,6719 B.C.,,212,Otter St,,,Demo,,,,121.8500000,,Residential,
000015,1990,50,,19900726,,19900801,,,17-19,1,6917 B.C.,,137,Banff Ave,Somova Kindova Pizza,,Comm Reno,,,50000.0000000,305.0000000,,Commercial,
000888,1990,51,90DP20,19900809,,19900801,,,28,2,2221 C.N.,,138,Kootenay Ave,,,Res Reno,,,40000.0000000,250.0000000,,Residential,
000225,1990,52,,19900814,,19900801,,,15,6,6719 B.C.,,201,Wolf St,,,Comm Reno,,,15000.0000000,130.0000000,,Commercial,
000588,1990,53,90DP60,19900904,,19900901,,,8,30,6719 B.C.,,538,Banff Ave,,,Demo,,,,75.7000000,,Residential,
000127,1990,54,,19900913,,19900901,,,,,,,229,Banff Ave,,,Comm Reno,,,286000.0000000,1716.0000000,,Commercial,
001222,1990,55,,19900919,,19900901,,,9,21,8911519,B,139,Park Ave,,,Res Reno,,,4500.0000000,50.0000000,,Residential,
001283,1990,56,,19900917,,19900901,,,16,25,8911519,,215,Jasper Way,,,Res Reno,,,3500.0000000,50.0000000,,Residential,
001139,1990,57,90DP15,19900831,,19900901,,,33,58,,,,Hawk Ave,,,Comm Reno,,,40000.0000000,255.0000000,,Commercial - Hawk Avenue & Eagle Crescent,
000588,1990,58,90DP60,19900904,,19901001,,,8,30,6719 B.C.,,538,Banff Ave,,,Duplex,,,200000.0000000,1100.0000000,,Residential,
001282,1990,59,90DP105,19900923,,19901001,,,15,25,8911519,,213,Jasper Way,,,Res Reno,,,7500.0000000,50.0000000,,Residential,
000626,1990,60,90DP107,19901005,,19901001,,,18,34,24432 & 51517,,121,Wolverine St,,,Garage,,,15000.0000000,75.0000000,,Residential,
000860,1990,61,,19900924,,19901001,,,9A-12A-42,13,6719 B.C.,,400,Spray Ave,,,Comm Reno,,,150000.0000000,900.0000000,,Commercial,
000135,1990,62,,19900914,,19901001,,,28-29,6,6719 B.C.,,202,Caribou St,,,Comm Reno,,,70000.0000000,405.0000000,,Commercial,
121104,1990,63,90DP36,19900917,,19901001,,,24-25,13,70784 CLS,,208 & 210,Springs Cres,,,SFD & SFD,,,500000.0000000,2750.0000000,,Residential,
000127,1990,64,,19900901,,19901001,,,15,6,21553 & 51317,,229,Banff Ave,,,Comm Reno,,,15000.0000000,130.0000000,,Commercial,
?,1990,65,90DP68,19900917,,19901001,,,,,,,,,,,Comm Reno,,,5500.0000000,85.0000000,,Commercial,
082801,1990,66,90DP86,19900827,,19901001,,,6,B,,,317,Buffalo St,,,Res Reno,,,25000.0000000,125.0000000,,Residential,
001242,1990,67,90DP120,19901107,,19901101,,,19,23,8911519,,136,Glacier Dr,,,Res Reno,,,7000.0000000,50.0000000,,Residential,
001235,1990,68,90DP119,19901031,,19901101,,,12,23,8911519,,122,Glacier Dr,,,Res Reno,,,3000.0000000,50.0000000,,Residential,
001293,1990,69,90DP114,19900911,,19901101,,,8,26,8911519,,214,Jasper Way,,,Res Reno,,,800.0000000,50.0000000,,Residential,
001248,1990,70,90DP118,19901114,,19901101,,,25,23,8911519,,224,Jasper Way,,,Res Reno,,,7500.0000000,50.0000000,,Residential,
000113,1990,71,,19901114,,19901101,,,13,5,21523 & 50129,,225,Bear St,,,Comm Reno,,,33000.0000000,220.0000000,,Commercial,
001131,1990,72,90DP90,1990092,,19901101,,,11,59,88111461,#4,200,Hawk Ave,,,Comm Reno,,,15000.0000000,130.0000000,,Commercial,
000822,1990,73,90DP79,19901016,,19901101,,,23B,A,40403,,228,Bow Ave,,,Comm Reno,,,144000.0000000,864.0000000,,Commercial,
000633,1990,74,90DP89,19901009,,19901101,,,13-17,36,1163 C.D.,,555,Banff Ave,,,Comm Reno,,,30000.0000000,180.0000000,,Commercial,
069101,1990,75,90DP07,19901003,,19901101,,,9-10,60,3939 J.K.,,100,Jay St,,,Comm Constr,,,185000.0000000,1110.0000000,,Commercial,
000028,1990,76,,19901106,,19901101,,,9-10,2,6719 B.C. 51317-21553CLSR,,120,Banff Ave,,,Comm Reno,,,107000.0000000,642.0000000,,Commercial,
?,1990,77,,,,,,,,,,,,,,,,,,,,,,
001292,1990,78,,19901207,,19901201,,,7,26,8911519,,212,Jasper Way,,,Res Reno,,,300.0000000,50.0000000,,Residential,
020520,1990,79,90DP104,19901211,,19901201,,,,,,,100,Hawk Ave,,,Comm Reno,,,120000.0000000,,,Commercial,
000860,1990,80,,19900829,,19901201,,,,,,,400,Spray Ave,,,Comm Reno,,,250000.0000000,1500.0000000,,Commercial,
000252,1991,81,,19911012,,19910101,,,,,,,328,Squirrel St,,,Demo,,,,79.6000000,,,
000015,1991,82,90DP14,19910104,,19910101,,,,,,,137,Banff Ave,,,Comm Reno,,,326000.0000000,1956.0000000,,,
001180,1991,83,,19910103,,19910101,,,,,,,,Hidden Ridge Way,,,Comm Reno,,,3000.0000000,50.0000000,,,
000252,1991,84,90DP88,19911228,,19910101,,,,,,,328,Squirrel St,,,Duplex,,,250000.0000000,1375.0000000,,,
001280,1991,85,,19911127,,19910101,,,,,,,209,Jasper Way,,,Res Reno,,,2500.0000000,50.0000000,,,
000112,1991,86,90DP122,19910108,,19910101,,,,,,,223,Bear St,,,Comm Reno,,,30000.0000000,205.0000000,,,
001203,1991,87,,1991013,,19910201,,,,,,,100,Gopher St,,,Comm Reno,,,10000.0000000,105.0000000,,,
011602,1991,88,,19910118,,19910201,,,,,,,222,Lynx St,,,Comm Reno,,,25000.0000000,180.0000000,,,
000121,1991,89,,19911213,,19910201,,,,,,,211,Banff Ave,,,Comm Reno,,,6000.0000000,85.0000000,,,
001229,1991,90,,19911127,,19910201,,,,,,,110,Glacier Dr,,,Res Reno,,,5000.0000000,50.0000000,,,
000129,1991,91,,1991022,,19910201,,,,,,,220,Bear St,,,Comm Reno,,,16000.0000000,135.0000000,,,
000860,1991,92,91DP09,19910221,,19910201,,,,,,,400,Spray Ave,,,Comm Reno,,,3000.0000000,70.0000000,,,
000225,1991,93,90DP19,19910222,,19910201,,,,,,,317,Banff Ave,,,Comm Reno,,,50000.0000000,305.0000000,,,
000229,1991,94,91DP19,19910301,,19910301,,,,,,,308,Marten St,,,Demo,,,,94.3000000,,,
001010,1991,95,91DP17,19910218,,19910301,,,,,,,217,Glen Cres,,,Res Addition,,,7000.0000000,50.0000000,,,
000324,1991,96,90DP112,19901101,,19910301,,,,,,,410,Marten St,,,Demo,,,,97.8000000,,,
000225,1991,97,90DP19,19910227,,19910301,,,,,,,317,Banff Ave,,,Comm Reno,,,70000.0000000,405.0000000,,,
001003,1991,98,90DP94,19910319,,19910301,,,,,,,203,Glen Cres,,,Res Reno,,,75000.0000000,425.0000000,,,
000225,1991,99,90DP19,19910301,,19910301,,,,,,,317,Banff Ave,,,Comm Reno,,,20000.0000000,155.0000000,,,
000225,1991,100,90DP19,19910125,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,90000.0000000,505.0000000,,,
000691,1991,101,91DP02,19910314,,19910401,,,,,,,103,Owl St,,,Demo,,,185000.0000000,102.3500000,,,
000225,1991,102,90DP19,19910306,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,30000.0000000,205.0000000,,,
112101,1991,103,91DP25,19910327,,19910401,,,,,,,120,Eagle Cres,,,Comm Reno,,,21000.0000000,160.0000000,,,
000225,1991,104,90DP19,19910327,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,13000.0000000,120.0000000,,,
000691,1991,105,91DP02,19910314,,19910401,,,,,,,103,Owl St,,,Comm Reno,,,185000.0000000,1110.0000000,,,
000225,1991,106,90DP19,19910315,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,65000.0000000,380.0000000,,,
000644,1991,107,91DP16,19910225,,19910401,,,,,,,133,St Julien Rd,,,Res Reno,,,9000.0000000,50.0000000,,,
000225,1991,108,90DP19,19910409,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000225,1991,109,90DP19,19910401,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,120000.0000000,720.0000000,,,
000225,1991,110,,19910125,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,90000.0000000,505.0000000,,,
000225,1991,111,90DP19,19910306,,19910401,,,,,,,317,Banff Ave,,,Comm Reno,,,50000.0000000,305.0000000,,,
000229,1991,112,90DP129,19910409,,19910501,,,,,,,308-316,Marten St,,,Comm Reno,,,650000.0000000,3900.0000000,,,
000225,1991,113,90DP19,19910409,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,90000.0000000,505.0000000,,,
000225,1991,114,90DP19,19910322,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000273,1991,115,91DP42,19910327,,19910501,,,,,,,344,Banff Ave,,,Demo,,,,87.4000000,,,
000274,1991,116,91DP42,19910327,,19910501,,,,,,,346,Banff Ave,,,Demo,,,,111.4500000,,,
000275,1991,117,91DP42,19910327,,19910501,,,,,,,348,Banff Ave,,,Demo,,,,88.7000000,,,
000225,1991,118,90DP19,19910422,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000324,1991,119,90DP112,19910315,,19910501,,,,,,,410,Marten St,,,Apartment,,,450000.0000000,2475.0000000,,,
001296,1991,120,91DP32,19910501,,19910501,,,,,,,117,Glacier Dr,,,Res Reno,,,2000.0000000,50.0000000,,,
001222,1991,121,,19910501,,19910501,,,,,,,139B,Park Ave,,,Res Reno,,,1500.0000000,50.0000000,,,
000225,1991,122,90DP19,19910319,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,50000.0000000,305.0000000,,,
000860,1991,123,,19910425,,19910501,,,,,,,400,Spray Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000225,1991,124,90DP19,19910501,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000860,1991,125,,19910502,,19910501,,,,,,,400,Spray Ave,,,Comm Reno,,,67000.0000000,390.0000000,,,
000225,1991,126,90DP19,19910328,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000225,1991,127,90DP19,19910503,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,40000.0000000,255.0000000,,,
000225,1991,128,90DP19,19910425,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,50000.0000000,305.0000000,,,
000711,1991,129,91DP37,19910503,,19910501,,,,,,,208,Marmot Cres,,,Res Reno,,,29292.0000000,200.0000000,,,
000225,1991,130,90DP19,19910424,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,65000.0000000,380.0000000,,,
000302,1991,131,,19910516,,19910501,,,,,,,448,Elk St,,,Res Reno,,,1000.0000000,50.0000000,,,
000229,1991,132,90DP129,19910527,,19910501,,,,,,,312-316,Marten St,,,Comm Reno,,,230000.0000000,1380.0000000,,,
000921,1991,133,91DP13,19910509,,19910501,,,,,,,107,Cave Ave,,,Garage,,,25000.0000000,175.0000000,,,
000225,1991,134,90DP19,19910301,,19910501,,,,,,,317,Banff Ave,,,Comm Reno,,,300000.0000000,1800.0000000,,,
000029,1991,135,,19910517,,19910601,,,,,,,124,Banff Ave,,,Comm Reno,,,2000.0000000,65.0000000,,,
001218,1991,136,,19910515,,19910601,,,,,,,102,Spray Ave,,,Inst Reno,,,45000.0000000,280.0000000,,,
001235,1991,137,,19910521,,19910601,,,,,,,122,Glacier Dr,,,Res Reno,,,2000.0000000,50.0000000,,,
000225,1991,138,90DP19,19910516,,19910601,,,,,,,317,Banff Ave,,,Comm Reno,,,70000.0000000,405.0000000,,,
000225,1991,139,90DP19,19910531,,19910601,,,,,,,317,Banff Ave,,,Comm Reno,,,50000.0000000,305.0000000,,,
130501,1991,140,91DP27,19910501,,19910601,,,,,,,538,Deer St,,,Duplex,,,358000.0000000,1970.0000000,,,
000014,1991,141,,19910607,,19910601,,,,,,,133-135,Banff Ave,,,Comm Reno,,,25000.0000000,180.0000000,,,
000860,1991,142,,19910527,,19910601,,,,,,,400,Spray Ave,,,Comm Reno,,,20000.0000000,155.0000000,,,
000125,1991,143,Withdrawn,19910612,,19910601,,,,,,,223 & 225,Banff Ave,,,Comm Reno,,,7000.0000000,90.0000000,,,
000225,1991,144,90DP19,19910611,,19910601,,,,,,,317,Banff Ave,,,Comm Reno,,,52000.0000000,315.0000000,,,
000225,1991,145,90DP19,19910614,,19910601,,,,,,,317,Banff Ave,,,Comm Reno,,,70000.0000000,405.0000000,,,
000159,1991,146,91DP55,19910628,,19910701,,,,,,,226,Beaver St,,,Demo,,,,110.1500000,,,
000110,1991,147,,19910619,,19910701,,,,,,,217,Bear St,,,Comm Reno,,,20000.0000000,155.0000000,,,
001244,1991,148,,19910625,,19910701,,,,,,,140,Glacier Dr,,,Res Reno,,,6000.0000000,50.0000000,,,
000495,1991,149,,19910709,,19910701,,,,,,,406,Otter St,,,Demo,,,,97.8000000,,,
000587,1991,150,,19910715,,19910701,,,,,,,536,Banff Ave,,,Demo,,,,118.6000000,,,
069101,1991,151,,1991062,,19910701,,,,,,,102,Jay St,,,Comm Reno,,,6000.0000000,85.0000000,,,
000225,1991,152,90DP19,19910704,,19910701,,,,,,,317,Banff Ave,,,Comm Reno,,,31000.0000000,180.0000000,,,
000495,1991,153,91DP23,19910502,,19910701,,,,,,,406,Otter St,,,Duplex,,,150000.0000000,825.0000000,,,
000587,1991,154,90DP116,19910702,,19910701,,,,,,,536,Banff Ave,,,Apartment,,,300000.0000000,1650.0000000,,,
000159,1991,155,91DP55,19910711,,19910701,,,,,,,226,Beaver St,,,4 Plex,,,200000.0000000,1100.0000000,,,
000253,1991,156,91DP59,19910724,,19910701,,,,,,,326,Squirrel St,,,Demo,,,,75.0500000,,,
000888,1991,157,,19910725,,19910701,,,,,,,138,Kootenay Ave,,,Garage Demo,,,,43.1500000,,,
000888,1991,158,90DP20,19910725,,19910701,,,,,,,138,Kootenay Ave,,,Garage,,,25000.0000000,125.0000000,,,
045415,1991,159,,19910627,,19910701,,,,,,,135,Banff Ave,,,Comm Reno,,,12000.0000000,115.0000000,,,
000253,1991,160,91DP59,19910624,,19910701,,,,,,,326,Squirrel St,,,Duplex,,,214100.0000000,1177.5500000,,,
001032,1991,161,,19910731,,19910801,,,,,,,106,Nahanni Dr,,,Res Reno,,,2925.0000000,50.0000000,,,
069101,1991,162,90DP07,1991071,,19910801,,,,,,Bays 1 And 2,100,Jay St,,,Comm Reno,,,30000.0000000,205.0000000,,,
000118,1991,163,91DP34,19910813,,19910801,,,,,,,201-205,Banff Ave,,,Excavation,,,15000.0000000,90.0000000,,,
000099,1991,164,90DP72,19910815,,19910801,,,,,,,115,Otter St,,,Res Reno,,,1000.0000000,50.0000000,,,
031402,1991,165,91DP54,19910827,,19910801,,,,,,,347,Otter St,,,Demo,,,,34.7500000,,,
031402,1991,166,91DP54,19910726,,19910801,,,,,,,347,Otter St,,,Duplex,,,250000.0000000,1375.0000000,,,
000075,1991,167,91DP52,19910827,,19910801,,,,,,,510,Buffalo St,,,Demo Garage,,,,45.5000000,,,
000075,1991,168,91DP52,19910801,,19910801,,,,,,,510,Buffalo St,,,Garage,,,8000.0000000,50.0000000,,,
001262,1991,169,91DP65,19910815,,19910801,,,,,,,231,Jasper Way,,,Res Reno,,,8000.0000000,50.0000000,,,
000860,1991,170,,1991062,,19910801,,,,,,,400,Spray Ave,,,Comm Reno,,,64000.0000000,384.0000000,,,
000048,1991,171,90DP33,19910711,,19910801,,,,,,,114,Beaver St,,,Res Reno,,,5000.0000000,50.0000000,,,
031401,1991,172,91DP53,19910827,,19910801,,,,,,,349,Otter St,,,Demo,,,,68.5500000,,,
031401,1991,173,91DP54,19910827,,19910801,,,,,,,349,Otter St,,,Duplex,,,250.0000000,1375.0000000,,,
000118,1991,174,91DP34,19910822,,19910801,,,,,,,201-205,Banff Ave,,,Comm Reno,,,50000.0000000,300.0000000,,,
000229,1991,175,91DP129,19910826,,19910901,,,,,,,316,Marten St,,,Comm Reno,,,7000.0000000,610.0000000,,,
020054,1991,176,,19910823,,19910901,,,,,,,,Mount Norquay Rd,,,Comm Reno,,,120000.0000000,0.0000000,,,
001260,1991,177,91DP77,19910828,,19910901,,,,,,,235,Jasper Way,,,Res Reno,,,16692.0000000,85.0000000,,,
001300,1991,178,90DP117,1991092,,19910901,,,,,,,125,Glacier Dr,,,Res Reno,,,3000.0000000,50.0000000,,,
001284,1991,179,91DP68,19910716,,19910901,,,,,,,217,Jasper Way,,,Res Reno,,,6500.0000000,50.0000000,,,
000881,1991,180,91DP55,1991092,,19910901,,,,,,,128,Kootenay Ave,,,Demo,,,,56.2000000,,,
000229,1991,181,90DP129,1991092,,19910901,,,,,,,312-316,Marten St,,,"Parkade, Residential Retail",,,3370800.0000000,19546.0000000,,,
000225,1991,182,90DP19,19910919,,19911001,,,,,,,317,Banff Ave,,,Comm Reno,,,44000.0000000,275.0000000,,,
000860,1991,183,,19910719,,19911001,,,,,,,400,Spray Ave,,,Comm Reno,,,108500.0000000,651.0000000,,,
000624,1991,184,,19911007,,19911001,,,,,,,125,Wolverine St,,,Res Reno,,,3500.0000000,50.0000000,,,
000881,1991,185,91DP85,19911002,,19911001,,,,,,,128,Kootenay Ave,,,Res Reno,,,79000.0000000,445.0000000,,,
000737,1991,186,,19911008,,19911001,,,,,,,170,Marmot Cres,,,Res Reno,,,3000.0000000,50.0000000,,,
000118,1991,187,91DP34,19910909,,19911001,,,,,,,201-205,Banff Ave,,,Comm Reno,,,1200000.0000000,7200.0000000,,,
000114,1991,188,91DP97,19911028,,19911001,,,,,,,229,Bear St,,,Comm Reno,,,15000.0000000,,,,
069101,1991,189,,19910906,,19911101,,,,,,Bay 9,100,Jay St,,,Comm Reno,,,600.0000000,60.0000000,,,
001232,1991,190,91DP95,19911024,,19911101,,,,,,,116,Glacier Dr,,,Res Reno,,,10000.0000000,50.0000000,,,
000118,1991,191,91DP34,1991121,,19911201,,,,,,,201,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
000225,1991,192,90DP129,19911125,,19911201,,,,,,Unit 350,208,Wolf St,,,Comm Reno,,,157000.0000000,942.0000000,,,
000555,1991,193,90DP50,19911217,,19911201,,,,,,,503,Banff Ave,,,Demo,,,,935.0000000,,,
000077,1991,194,,19911126,,19920101,,,,,,,110,Muskrat St,,,Res Reno,,,30000.0000000,200.0000000,,,
000118,1991,195,91DP110,19911216,,19920101,,,,,,,201-205,Banff Ave,,,Comm Reno,,,110000.0000000,660.0000000,,,
000118,1991,196,91DP34,19910103,,19920101,,,,,,,201-205,Banff Ave,,,Comm Reno,,,285000.0000000,1710.0000000,,,
001294,1991,197,91DP108,19910109,,19920101,,,,,,,216,Jasper Way,,,Res Reno,,,9250.0000000,50.0000000,,,
000912,1991,198,92DP01,1991122,,19920101,,,,,,,126,Park Ave,,,Res Reno,,,8000.0000000,50.0000000,,,
034001,1992,199,,19920124,,19920201,,,,,,,414,Squirrel St,,,Res Reno,,,5000.0000000,50.0000000,,,
000002,1992,200,,1992011,,19920201,,,,,,,103,Banff Ave,,,Comm Reno,,,87000.0000000,490.0000000,,,
000118,1992,201,91DP34,19920203,,19920201,,,,,,,201,Banff Ave,,,Comm Reno,,,35000.0000000,230.0000000,,,
121110,1992,202,92DP13,19920131,,19920201,,,,,,,218,Springs Cres,,,Res Reno,,,2000.0000000,50.0000000,,,
092701,1992,203,,19920109,,19920201,,,,,,,123,Cave Ave,,,Demo,,,2500.0000000,,,,
020038,1992,204,,19920109,,19920201,,,,,,,139,Cave Ave,,,Demo,,,2500.0000000,,,,
000779,1992,205,,19920212,,19920201,,,Parcel J,,Plan 7058 HF,,,,,,Res Reno,,,65000.0000000,270.0000000,,,
000118,1992,206,,19920121,,19920201,,,,,,,201,Banff Ave,,,Comm Reno,,,10000.0000000,105.0000000,,,
000860,1992,207,,19920205,,19920201,,,,,,,400,Spray Ave,,,Comm Reno,,,135000.0000000,810.0000000,,,
000504,1992,208,91DP66,19911001,,19920301,,,,,,,344,Otter St,,,Demo,,,,91.9500000,,,
000504,1992,209,91DP66,19911201,,19920301,,,,,,,344,Otter St,,,Duplex,,,200000.0000000,1100.0000000,,,
001289,1992,210,92DP09,19920109,,19920301,,,,,,,206,Jasper Way,,,Res Reno,,,20000.0000000,100.0000000,,,
000462,1992,211,90DP25,19920305,,19920301,,,,,,,452,Banff Ave,,,Demo,,,,85.4500000,,,
000462,1992,212,90DP25,19920305,,19920301,,,,,,,452,Banff Ave,,,Tri - plex,,,200000.0000000,1100.0000000,,,
000118,1992,213,91DP34,19920218,,19920301,,,,,,,201,Banff Ave,,,Comm Reno,,,20000.0000000,155.0000000,,,
000694,1992,214,,19920205,,19920301,,,,,,,100,Owl St,,,Comm Reno,,,1000.0000000,60.0000000,,,
000125,1992,215,,19920317,,19920301,,,,,,,225,Banff Ave,,,Comm Reno,,,10000.0000000,105.0000000,,,
