,facility_name,facility_type,health_authority,alternative_name,number_beds,address_str,street_no,street_name,street_addr,city,province,postal_code,provider,latitude,longitude,phone,email,website
0,Centre Le Cardinal inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre Le Cardinal inc.,,,,,"12900, rue Notre-Dame Est",Montréal,QC,H1A1R9,Province of Quebec,45.6524505615,-73.4883346558,,,
1,Groupe Roy santé Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Groupe Roy santé Inc.,,,,,"3550, rue Saint-Urbain",Montréal,QC,H2X4C5,Province of Quebec,45.5122146606,-73.5729370117,,,
2,Centre régional de santé et de services sociaux de la Baie-James,,,CRSSS de la Baie-James,,,,,"312, 3e Rue",Jamésie,QC,G8P1N5,Province of Quebec,49.913394928,-74.3570785522,,,
3,Centre hospitalier de l'Université de Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CHUM,,,,,"850, rue Saint-Denis",Montréal,QC,H2X0A9,Province of Quebec,45.5108375549,-73.5559463501,,,
4,CHSLD Résidence Bourg-Joli Inc.,,RLS de Richelieu-Yamaska,CHSLD Résidence Bourg-Joli Inc.,,,,,"2915, boulevard Laframboise",Les Maskoutains,QC,J2S4Z3,Province of Quebec,45.6335144043,-72.964225769,,,
5,Conseil de la nation atikamekw,,,Conseil de la nation atikamekw,,,,,wemotaci,La Tuque,QC,G0X3R0,Province of Quebec,47.9025650024,-73.7873306274,,,
6,Le CHSLD des Premières Nations du Timiskaming,,,Le CHSLD des Premières Nations du Timiskaming,,,,,"20, avenue Algonquin",Témiscamingue,QC,J0Z3B0,Province of Quebec,47.6070137024,-79.4703979492,,,
7,CHSLD de la Côte Boisée Inc.,,RLS de Lanaudière-Sud,CHSLD de la Côte Boisée Inc.,,,,,"4300, rue d'Angora",Les Moulins,QC,J6X4P1,Province of Quebec,45.7127571106,-73.6615905762,,,
8,CLSC Naskapi,,RLS de Kawawachikamach,CLSC Naskapi,,,,,Case postale 5154,Caniapiscau,QC,G0G2Z0,Province of Quebec,54.8612480164,-66.764251709,,,
9,Centre d'hébergement de la Marée Inc.,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Centre d'hébergement de la Marée Inc.,,,,,"7015, boulevard Gouin Est",Montréal,QC,H1E5N2,Province of Quebec,45.6300621033,-73.6190414429,,,
10,Prodimax Inc.,,RLS de Laval,Prodimax Inc.,,,,,"1050, 15e avenue",Laval,QC,H7R4N9,Province of Quebec,45.5621910095,-73.8588943481,,,
11,Santé Courville inc.,,RLS de Laval,Santé Courville inc.,,,,,"5200, 80e Rue",Laval,QC,H7R5T6,Province of Quebec,45.5432891846,-73.8550033569,,,
12,Centre intégré de santé et de services sociaux des Îles,,RLS des Îles-de-la-Madeleine,CISSS des Îles,,,,,"430, chemin Principal (Cap-aux-Meules)",Communauté maritime des Îles-de-la-Madeleine,QC,G4T1R9,Province of Quebec,47.3755760193,-61.8687705994,,,
13,Centre d'hébergement de la Villa-les-Tilleuls Inc.,,RLS de Laval,Centre d'hébergement de la Villa-les-Tilleuls Inc.,,,,,"5590, boulevard des Laurentides",Laval,QC,H7K2K2,Province of Quebec,45.6267585754,-73.752243042,,,
14,"Centre d'hébergement et de soins de longue durée du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,RLS de Pierrefonds - Lac Saint-Louis,"CHSLD du Manoir-de-l'Ouest-de-l'Île, S.E.C.",,,,,"17725, boulevard de Pierrefonds",Montréal,QC,H9J3L1,Province of Quebec,45.462852478,-73.8856124878,,,
15,Groupe Champlain Inc,,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,Groupe Champlain Inc.,,,,,"7150, rue Marie-Victorin",Montréal,QC,H1G2J5,Province of Quebec,45.6160697937,-73.6037445068,,,
16,Centre d'hébergement et de soins de longue durée des Floralies-de-Lachine Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lachine Inc.,,,,,"650, 32e Avenue",Montréal,QC,H8T3K4,Province of Quebec,45.4408454895,-73.6918411255,,,
17,Centre d'hébergement et de soins de longue durée des Floralies-de-Lasalle Inc.,,RLS de Dorval - Lachine - Lasalle,CHSLD des Floralies-de-Lasalle Inc.,,,,,"8200, rue Georges",Montréal,QC,H8P3T6,Province of Quebec,45.4241905212,-73.6090316772,,,
18,Centre d'hébergement et de soins de longue durée Côte-Jardin Inc.,,RLS de Québec-Sud,CHSLD Côte-Jardin Inc.,,,,,"880, avenue Painchaud",Québec,QC,G1S0A3,Province of Quebec,46.7881507874,-71.2610244751,,,
19,Centre d'hébergement et de soins de longue durée du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,RLS de Pierrefonds - Lac Saint-Louis,CHSLD du Château-sur-le-Lac-de-Sainte-Geneviève inc.,,,,,"16289, boulevard Gouin Ouest",Montréal,QC,H9H1E2,Province of Quebec,45.4779891968,-73.8744659424,,,
20,Vigi Santé Ltée,,RLS de Pierrefonds - Lac Saint-Louis,Vigi Santé Ltée,,,,,"197, rue Thornhill",Montréal,QC,H9B3H8,Province of Quebec,45.4802017212,-73.816116333,,,
21,Centre d'hébergement et de soins de longue durée Providence - Saint-Joseph inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Providence - Saint-Joseph inc.,,,,,"5605, rue Beaubien Est",Montréal,QC,H1T1X4,Province of Quebec,45.5789260864,-73.5674591064,,,
22,Maison des ainées de St-Timothée Inc.,,RLS du Suroît,Maison des ainées de St-Timothée Inc.,,,,,"1, rue des Aînés",Beauharnois-Salaberry,QC,J6S6M8,Province of Quebec,45.2893562317,-74.0367050171,,,
23,CHSLD Domaine Saint-Dominique S.E.C.,,RLS de Québec-Sud,CHSLD Domaine Saint-Dominique S.E.C.,,,,,"1045, boulevard René-Lévesque Ouest",Québec,QC,G1S1V3,Province of Quebec,46.7950134277,-71.2416000366,,,
24,Centre d'hébergement et de soins de longue durée de Saint-Lambert-sur-le-Golf Inc.,,RLS Pierre-Boucher,CHSLD de Saint-Lambert-sur-le-Golf Inc.,,,,,"549, rue de Verrazano",Longueuil,QC,J4B7W2,Province of Quebec,45.6024894714,-73.4443664551,,,
25,Centre d'hébergement et de soins de longue durée Wales Inc.,,RLS de Val Saint-François,CHSLD Wales Inc.,,,,,"506, Route 243",Le Val-Saint-François,QC,J0B2H0,Province of Quebec,45.6754226685,-72.1738052368,,,
26,CHSLD Age3 Inc.,,RLS de Laval,CHSLD Age3 Inc.,,,,,"4410, boulevard Saint-Martin Ouest",Laval,QC,H7T1C3,Province of Quebec,45.547000885,-73.7676696777,,,
27,Centre d'hébergement et de soins de longue durée du Boisé Sainte-Thérèse Inc.,,RLS de Thérèse-De Blainville,CHSLD Boisé Ste-Thérèse,,,,,"179, place Fabien-Drapeau",Thérèse-De Blainville,QC,J7E5W6,Province of Quebec,45.6491622925,-73.840927124,,,
28,Centre de réadaptation en dépendance du Nouveau Départ Inc.,,RLS de Côte-des-Neiges - Métro - Parc-Extension,Centre de réadapt. en dépendance du Nouveau Départ Inc.,,,,,"1110, avenue Beaumont",Montréal,QC,H3P3E5,Province of Quebec,45.5223045349,-73.6224365234,,,
29,Centre d'hébergement et de soins de longue durée de Sainte-Catherine S.E.C.,,RLS de Jardins-Roussillon,CHSLD de Sainte-Catherine S.E.C.,,,,,"3065, boulevard Marie-Victorin",Roussillon,QC,J5C1Z3,Province of Quebec,45.4003067017,-73.5433731079,,,
30,Centre d'hébergement et de soins de longue durée Angus Inc.,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CHSLD Angus Inc.,,,,,"3200, rue Omer-Lavallée",Montréal,QC,H1Y3P5,Province of Quebec,45.5465431213,-73.5606231689,,,
31,CHU de Québec – Université Laval,,RLS de Québec-Sud,CHU de Québec – UL,,,,,"11, côte du Palais",Québec,QC,G1R2J6,Province of Quebec,46.8153915405,-71.2109909058,,,
32,Centre d'hébergement et de soins de longue durée Argyle Inc.,,RLS de Champlain,CHSLD Argyle Inc.,,,,,"33, avenue Argyle",Longueuil,QC,J4P3P5,Province of Quebec,45.5015411377,-73.5147018433,,,
33,Centre d'hébergement et de soins de longue durée du Groupe-Santé-Arbec Inc.,,RLS de Lanaudière-Nord,CHSLD Groupe-Santé-Arbec Inc.,,,,,"3931, rue Lakeshore Drive",Matawinie,QC,J0K1S0,Province of Quebec,46.0508613586,-73.7022247314,,,
34,Centre d'hébergement et de soins de longue durée de Saint-Jean-sur-Richelieu S.E.C.,,RLS du Haut-Richelieu - Rouville,CHSLD de Saint-Jean-sur-Richelieu S.E.C.,,,,,"40, rue Labrèche",Le Haut-Richelieu,QC,J3B0J3,Province of Quebec,45.311580658,-73.2614974976,,,
35,Centre d'hébergement et de soins de longue durée Valeo Inc.,,RLS de Champlain,CHSLD Valeo Inc.,,,,,"700, rue Docteur-Chevrier",Longueuil,QC,J4P0A4,Province of Quebec,45.5095596313,-73.501701355,,,
36,Centre intégré de santé et de services sociaux du Bas-Saint-Laurent,,RLS de Rimouski,CISSS du Bas-Saint-Laurent,,,,,"355, boulevard Saint-Germain Ouest",Rimouski-Neigette,QC,G5L3N2,Province of Quebec,48.4433555603,-68.5404815674,,,
37,Centre intégré universitaire de santé et de services sociaux du Saguenay – Lac-Saint-Jean,,RLS de Chicoutimi,CIUSSS du Saguenay – Lac-Saint-Jean,,,,,"930, rue Jacques-Cartier Est",Saguenay,QC,G7H7K9,Province of Quebec,48.4213104248,-71.0400390625,,,
38,Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale,,RLS de Québec-Nord,CIUSSS de la Capitale-Nationale,,,,,"2915, avenue du Bourg-Royal",Québec,QC,G1C3S2,Province of Quebec,46.8566360474,-71.2197647095,,,
39,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec,,RLS de Trois-Rivières,CIUSSS de la Mauricie-et-du-Centre-du-Québec,,,,,"858, terrasse Turcotte",Trois-Rivières,QC,G9A5C5,Province of Quebec,46.3427963257,-72.5371017456,,,
40,Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke,,RLS de Sherbrooke,CIUSSS de l'Estrie – CHUS,,,,,"375, rue Argyll",Sherbrooke,QC,J1J3H5,Province of Quebec,45.4042434692,-71.9150848389,,,
41,Centre intégré universitaire de santé et de services sociaux de l'Ouest-de-l'Île-de-Montréal,,RLS de Pierrefonds - Lac Saint-Louis,CIUSSS de l'Ouest-de-l'Île-de-Montréal,,,,,"2400, boulevard des Sources, 2e étage",Montréal,QC,H9R0E9,Province of Quebec,45.448551178,-73.8336715698,,,
42,Centre intégré universitaire de santé et de services sociaux du Centre-Ouest-de-l'Île-de-Montréal,,RLS de Côte-des-Neiges - Métro - Parc-Extension,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,,,,,"3755, chemin de la Côte-Sainte-Catherin",Montréal,QC,H3T1E2,Province of Quebec,45.4978103638,-73.6288070679,,,
43,Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal,,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,,,,,"1560, rue Sherbrooke Est",Montréal,QC,H2L4M1,Province of Quebec,45.5253562927,-73.5635604858,,,
44,Centre intégré universitaire de santé et de services sociaux du Nord-de-l'Île-de-Montréal,,RLS d'Ahuntsic - Montréal-Nord,CIUSSS du Nord-de-l'Île-de-Montréal,,,,,"555, boulevard Gouin Ouest",Montréal,QC,H3L1K5,Province of Quebec,45.5475997925,-73.6876525879,,,
45,Centre intégré universitaire de santé et de services sociaux de l'Est-de-l'Île-de-Montréal,,RLS de Hochelaga - Mercier-Ouest - Rosemont,CIUSSS de l'Est-de-l'Île-de-Montréal,,,,,"5415, boulevard de l'Assomption",Montréal,QC,H1T2M4,Province of Quebec,45.5742149353,-73.5584640503,,,
46,Centre intégré de santé et de services sociaux de l'Outaouais,,RLS de Grande-Rivière - Hull - Gatineau,CISSS de l'Outaouais,,,,,"80, avenue Gatineau",Gatineau,QC,J8T4J3,Province of Quebec,45.4801902771,-75.7229309082,,,
