Province,City/Region,Source,Available,Open Data,License of Terms of Use,Attribution Statement,Special Note ,Date Modified By Source ,Update Frequency,Geo-coordinates?,Downloaded from source
AB,Whole Province,https://open.alberta.ca/opendata/building-permits-by-municipality,Y,Y,,,,September 20 2017,Annually ,,June 10 2019
AB,Banff,http://banffmaps.ca/opendata/,Y,Y,,,"Downloaded as part of a zip bundle, ""BanffOpenData_CSVs"". Application dates from 1990-2017",,,,June 7 2019
AB,Calgary,https://data.calgary.ca/dataset/Building-Regulations-Single-Construction-Permits/uyhv-3wsg,Y,Y,,,Single construction permits starting in 2008,,Daily,Yes,June 6 2019
,,https://data.calgary.ca/Business-and-Economic-Activity/Building-Permits/c2es-76ed/data,Y,Y,,,Building permit applications starting in 1999,,Daily,Yes,
AB,Edmonton,https://data.edmonton.ca/Sustainable-Development/General-Building-Permits/24uj-dj8v/data,Y,Y,,,Building permits starting January 2009,,Daily,Yes,June 10 2019
AB,Lethbridge,https://www.lethbridge.ca/OpenDataSets/CityDevelopments.xml,Y,Y,,,XML file with 'city developments'. Includes some information regarding new neighbourhoods and larger construction projects. Also shows start and end dates of the projects. Start dates spanning from 06/2016 to 06/2017,May 1 2019,,,June 6 2019
AB,Red Deer,http://data.reddeer.ca/buildingpermits,Y,Y,,,,,Daily,,June 6 2019
AB,Strathcona County,https://data.strathcona.ca/Housing-Buildings/Building-Permits/y99k-mxv7/data,Y,Y,,,Building permits from January 1997 to present,May 29 2019,,Yes,June 10 2019
BC,Vancouver,https://data.vancouver.ca/datacatalogue/issuedBuildingPermits.htm,Y,Y,,,Data sets for 2017-2019 ,,Monthly,,June 6 2019
BC,Victoria,http://opendata.victoria.ca/datasets/building-permits-all-completed-and-active-permits/data?geometry=-123.59%2C48.388%2C-123.189%2C48.467,Y,Y,,,,,Daily,Yes,June 10 2019
BC,Nanaimo,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/BuildingPermitApplications#,Y,Y,,,Building Permit Applications,February 12 2013,,Yes,June 6 2019
,,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/DevelopmentApplications#,Y,Y,,,Development Applications ,February 12 2013,,Yes,June 10 2019
BC,New Westminster,http://opendata.newwestcity.ca/datasets/projects-on-the-go,Y,Y,,,"""Projects on the Go"": current applications for rezoning, development permits and heritage revitalization agreements",June 6 2019,Semi-annual ,,June 10 2019
