EI Code,EI name,Other Name for EI,Institution Type,Designation Status,Designation Reason,Date of Designation,Date of De-Designation,Address Line 1,Address Line 2,Address Line 3,City,Province,Postal Code,Country,Telephone Number Overseas,Telephone Number,Fax Number
BJAP,Bow Valley College,null,Junior College,Designated,NA,1988-12-21,null,345 6th Avenue SE ,null,null,Calgary,Alberta,T2G4G1,Canada,(403) 410-1400,(403) 410-1400,(403) 410-1400
BJAB,Burman University,null,Junior College,Designated,NA,1988-12-21,null,6730 University Drive,null,null,Lacombe,Alberta,T4L2E5,Canada,(403) 782-3381,(403) 782-3381,(403) 782-3381
BJAK,Concordia Lutheran Seminary,null,Junior College,Designated,NA,1988-12-21,null,7040 Ada Blvd.,null,null,Edmonton,Alberta,T5E4B4,Canada,(403) 479-8481,(403) 479-8481,(403) 479-8481
BJAC,Grande Prairie Regional College,null,Junior College,Designated,NA,1988-12-21,null,10726 - 106th Ave.,null,null,Grande Prairie,Alberta,T8V4C4,Canada,(780) 539-2911,(780) 539-2911,(780) 539-2911
BJAD,Grant Macewan University,null,Junior College,Designated,NA,1988-12-21,null,Financial Services,P.O. Box 1796,10700 - 104 Avenue,Edmonton,Alberta,T5J2P2,Canada,(780) 497-4304,(780) 497-4304,(780) 497-4304
BJAF,Lethbridge College,null,Junior College,Designated,NA,1988-12-21,null,3000 College Dr. South,null,null,Lethbridge,Alberta,T1K1L6,Canada,(403) 320-3372,(403) 320-3372,(403) 320-3372
BJAI,Medicine Hat College,null,Junior College,Designated,NA,1988-12-21,null,299 College Dr. S.E.,null,null,Medicine Hat,Alberta,T1A3Y6,Canada,(403) 529-3819,(403) 529-3819,(403) 529-3819
BJAG,Mount Royal University,null,Junior College,Designated,NA,1988-12-21,null,MRU Fees Office,4825 Mount Royal- Gate SW,null,Calgary,Alberta,T3E6K6,Canada,(403) 440-6306,(403) 440-6306,(403) 440-6306
BJAQ,Norquest College,null,Junior College,Designated,NA,1988-12-21,null,10215 - 108 Street,null,null,Edmonton,Alberta,T5J 1L6,Canada,7804222020,7804222020,7804222020
BJAR,Northern Lakes College,null,Junior College,Designated,NA,1992-01-22,null,C/O Main Campus,Bag 3000,null,Grouard,Alberta,T0G 1C0,Canada,7808498616,7808498616,7808498616
BJAS,Portage College,null,Junior College,Designated,NA,1988-12-21,null,P.0. Box 417,null,null,Lac La Biche,Alberta,T0A2C0,Canada,(403) 623-5551,(403) 623-5551,(403) 623-5551
BJAH,Red Deer College,null,Junior College,Designated,NA,1988-12-21,null,56 Ave. & 32nd St. Box 5005,2nd St.,null,Red Deer,Alberta,T4N 5H5,Canada,4033423300,4033423300,4033423300
BZAA,Yellowhead Tribal College,null,Miscellaneous,Designated,NA,2016-09-08,null,10045-156 Street,The Orange Hub,null,Edmonton,Alberta,T5P 2P7,Canada,(780) 484-0303,(780) 484-0303,(780) 484-0303
BPQF,ABES (Alberta Business and Educational Services)-Calgary,ABES (2017) Ltd.,Private Institution,Designated,NA,2018-05-15,null,10- 221-18 Street SE,null,null,Calgary,Alberta,T2E6J5,Canada,4032328758,4032328758,4032328758
BPNC,ABM College ,null,Private Institution,Designated,NA,2011-10-31,null,112 - 28th Street SE,null,null,Calgary,Alberta,T2A 6J9,Canada,(403) 7194300,(403) 7194300,(403) 7194300
