,idx,facility_name,facility_type,number_beds,longitude,latitude,street_no,street_name,city,province,phone,provider,filename
0,0,AUTUMN LEE RETIREMENT HOME II,Special Care Home,45,-64.85683550999994,46.12424093300007,2031,MOUNTAIN,Moncton,NB,(506) 384-7658,Moncton,NB_Moncton_senior_care_facilities.csv
1,1,BIRCHMOUNT LODGE,Special Care Home,32,-64.82544761299994,46.10674298300006,144,BIRCHMOUNT,Moncton,NB,(506) 384-7573,Moncton,NB_Moncton_senior_care_facilities.csv
2,2,BRAE MANOR,Special Care Home,3,-64.76673425399997,46.11905204900006,101,ELLERDALE,Moncton,NB,(506) 383-9228,Moncton,NB_Moncton_senior_care_facilities.csv
3,3,BURNS MANOR,Special Care Home,15,-64.79041864099997,46.09655490100005,26,BROMLEY,Moncton,NB,(506) 852-3554,Moncton,NB_Moncton_senior_care_facilities.csv
4,4,Camden Park Terrace,Seinor Complex,0,-64.81998187699998,46.08187479400004,55,CAMDEN,Moncton,NB,,Moncton,NB_Moncton_senior_care_facilities.csv
5,5,Church Court,Seinor Complex,71,-64.77904756999993,46.09031279800007,80,CHURCH,Moncton,NB,,Moncton,NB_Moncton_senior_care_facilities.csv
6,6,MAISON RENAISSANCE LTEE,Special Care Home,20,-64.77691447899997,46.09060129900007,62,BOTSFORD,Moncton,NB,(506) 383-1280,Moncton,NB_Moncton_senior_care_facilities.csv
7,7,FOYER CHEZ NOUS MONCTON,Special Care Home,13,-64.79465478899994,46.08623907200007,30,BURLINGTON,Moncton,NB,(506) 857-9863,Moncton,NB_Moncton_senior_care_facilities.csv
8,8,GOLDEN YEARS ESTATE LTD,Special Care Home,80,-64.86195688,46.05993327100003,25,JABEZ,Moncton,NB,(506) 854-7464,Moncton,NB_Moncton_senior_care_facilities.csv
9,9,LA RÉSIDENCE SIESTA LTÉE,Special Care Home,10,-64.77216322899994,46.11924809800007,508,ELMWOOD,Moncton,NB,(506) 855-6736,Moncton,NB_Moncton_senior_care_facilities.csv
10,10,LEFURGEY RESIDENCE,Special Care Home,30,-64.80852571899999,46.10105553300008,30,LEFURGEY,Moncton,NB,(506) 855-4622,Moncton,NB_Moncton_senior_care_facilities.csv
11,11,LJ JAILLET RESIDENCE INC.,Special Care Home,10,-64.79715458499999,46.09348377600003,30,LOCKHART,Moncton,NB,(506) 830-8175,Moncton,NB_Moncton_senior_care_facilities.csv
12,12,MAISON BONHEUR,Special Care Home,12,-64.79466338999998,46.09767720900004,406,HIGH,Moncton,NB,(506) 854-3460,Moncton,NB_Moncton_senior_care_facilities.csv
13,13,MANOIR NOTRE-DAME MANOR,Special Care Home,120,-64.77787776199995,46.11715819800003,110,MURPHY,Moncton,NB,(506) 857-9011,Moncton,NB_Moncton_senior_care_facilities.csv
14,14,OPEN ARMS SPECIAL CARE HOME,Special Care Home,8,-64.72855106799994,46.11543650100003,98,GLENGROVE,Moncton,NB,(506) 204-8409,Moncton,NB_Moncton_senior_care_facilities.csv
15,15,RESIDENCE AVENTURE,Special Care Home,30,-64.77276988899996,46.13845522600008,1076,ELMWOOD,Moncton,NB,(506) 874-0757,Moncton,NB_Moncton_senior_care_facilities.csv
16,16,RESIDENCE COLLETTE RESIDENCE INC.,Special Care Home,18,-64.77321422299997,46.09190567900004,64,STEADMAN,Moncton,NB,(506) 874-0757,Moncton,NB_Moncton_senior_care_facilities.csv
17,17,SMITH SPECIAL CARE HOME LTD,Special Care Home,10,-64.79745559699995,46.07919239600005,56,DORCHESTER,Moncton,NB,(506) 874-0757,Moncton,NB_Moncton_senior_care_facilities.csv
18,18,SUNSET VILLAGE,Special Care Home,25,-64.79146347999995,46.12194263600003,45,LEOPOLD F. BELLIVEAU,Moncton,NB,(506) 389-1335,Moncton,NB_Moncton_senior_care_facilities.csv
19,19,RESIDENCE MCDOUGALL,Special Care Home,30,-64.78957336499997,46.08907922900005,37,MCDOUGALL,Moncton,NB,(506) 382-7520,Moncton,NB_Moncton_senior_care_facilities.csv
20,20,THE BRIARLEA,Special Care Home,24,-64.85852095699994,46.12586340100006,75,BRIARLEA,Moncton,NB,(506) 857-8866,Moncton,NB_Moncton_senior_care_facilities.csv
21,21,CAREY HOUSE (THE),Special Care Home,10,-64.79128365099996,46.09512841300005,337,CAMERON,Moncton,NB,(506) 388-2868,Moncton,NB_Moncton_senior_care_facilities.csv
22,22,TRUEMAN HOUSE,Special Care Home,9,-64.77936202099994,46.09745296000006,265,CHURCH,Moncton,NB,(506) 389-3138,Moncton,NB_Moncton_senior_care_facilities.csv
23,23,SUNSHINE HOUSE,Special Care Home,9,-64.78869339399995,46.09112235600003,164,PARK,Moncton,NB,(506) 870-0353,Moncton,NB_Moncton_senior_care_facilities.csv
24,24,RESIDENCE HELENE RESIDENCE INC,Special Care Home,20,-64.80566866999993,46.09756525200004,46,WINNIPEG,Moncton,NB,(506) 855-3366,Moncton,NB_Moncton_senior_care_facilities.csv
25,25,GRASS HOME LTD.,Special Care Home,6,-64.82220144899998,46.05917455000008,774,COVERDALE,Moncton,NB,(506) 386-1740,Moncton,NB_Moncton_senior_care_facilities.csv
26,26,ALOUETTE SPECIAL CARE HOME/FOYER DE SOINS SPECIAUX,Special Care Home,55,-64.68862347099997,46.05528082400008,2100,AMIRAULT,Moncton,NB,(506) 857-9200,Moncton,NB_Moncton_senior_care_facilities.csv
27,27,AUBERGE DU SOLEIL,Special Care Home,130,-64.69373470199997,46.07746432300007,125,AUCOIN,Moncton,NB,(506) 858-8558,Moncton,NB_Moncton_senior_care_facilities.csv
28,28,DALY'S HOME CARE INC,Special Care Home,10,-64.80321138599999,46.04796458300007,28,TRIDER,Moncton,NB,(506) 874-0757,Moncton,NB_Moncton_senior_care_facilities.csv
29,29,EMERY HOUSE,Special Care Home,9,-64.75769593899997,46.07761605500008,88,EMERY,Moncton,NB,(506) 387-4518,Moncton,NB_Moncton_senior_care_facilities.csv
30,30,MAZEROLLE SPECIAL CARE HOME LTD.,Special Care Home,26,-64.73642840799994,46.09626533400007,448,GAUVIN,Moncton,NB,(506) 861-9011,Moncton,NB_Moncton_senior_care_facilities.csv
31,31,RESIDENCE BELLEVUE,Special Care Home,40,-64.73141967199996,46.08453111500006,36,CHARTERSVILLE,Moncton,NB,(506) 857-2077,Moncton,NB_Moncton_senior_care_facilities.csv
32,32,RESIDENCE DU MARAIS LTEE,Special Care Home,65,-64.73361896599994,46.08267490500003,371,AMIRAULT,Moncton,NB,(506) 858-1318,Moncton,NB_Moncton_senior_care_facilities.csv
33,33,RESIDENCE MONCTON - AILE CENTENNAIRE,Special Care Home,50,-64.79657545799995,46.09150629700008,270,JOHN,Moncton,NB,(506) 389-0100,Moncton,NB_Moncton_senior_care_facilities.csv
34,34,RESIDENCE MONCTON RESIDENCE I,Special Care Home,60,-64.79774073699997,46.09166895100003,270,JOHN,Moncton,NB,(506) 389-0100,Moncton,NB_Moncton_senior_care_facilities.csv
35,35,RÉSIDENCE OASIS RESIDENCE INC,Special Care Home,60,-64.72467825099994,46.07262830600007,855,AMIRAULT,Moncton,NB,(506) 855-6676,Moncton,NB_Moncton_senior_care_facilities.csv
36,36,RESIDENCE REINE DE LA PAIX,Special Care Home,21,-64.72488698299998,46.09991708500007,700,CHAMPLAIN,Moncton,NB,(506) 859-8707,Moncton,NB_Moncton_senior_care_facilities.csv
37,37,RESIDENCE VIRGINIA INC,Special Care Home,10,-64.74898529999996,46.09328668300003,175,VIRGINIA,Moncton,NB,(506) 388-5763,Moncton,NB_Moncton_senior_care_facilities.csv
38,38,RESIDENCE AUSTIN INC,Special Care Home,10,-64.75139517899999,46.10026468600006,620,LATOUR,Moncton,NB,(506) 382-5023,Moncton,NB_Moncton_senior_care_facilities.csv
39,39,"SHANNEX RLC LIMITED, CANTERBURY HALL",Special Care Home,60,-64.82748934199998,46.05597877000008,824,COVERDALE,Moncton,NB,(506) 387-7770,Moncton,NB_Moncton_senior_care_facilities.csv
