,idx,facility_name,facility_type,longitude,latitude,street_addr,city,province,phone,website,provider,filename
0,0,SIX08 PHARMACY,covid_vaccination_centres,-112.837636398284,49.692741976171,608 5 AVE S,LETHBRIDGE,AB,403-694-3352,,Calgary,AB_Calgary_covid_vaccination_centres.csv
1,1,PENHOLD PHARMACY,covid_vaccination_centres,-113.868841727683,52.139603574175,3-1380 ROBINSON AVE,PENHOLD,AB,403-886-4466,,Calgary,AB_Calgary_covid_vaccination_centres.csv
2,2,MANNING PHARMACY,covid_vaccination_centres,-113.423700179554,53.60039277954,228 MANNING CROSS NW,EDMONTON,AB,780-758-9595,,Calgary,AB_Calgary_covid_vaccination_centres.csv
3,3,WHITEMUD PHARMACY,covid_vaccination_centres,-113.503608272575,53.478009981513,101-4075 106 ST NW,EDMONTON,AB,780-395-0788,,Calgary,AB_Calgary_covid_vaccination_centres.csv
4,4,UNIVERSAL HEALTH PHARMACY #6,covid_vaccination_centres,-113.988956744033,51.275632907198,3-1861 MEADOWBROOK DR SE,AIRDRIE,AB,403-980-7001,,Calgary,AB_Calgary_covid_vaccination_centres.csv
5,5,THORHILD DRUG STORE,covid_vaccination_centres,-113.124249072787,54.160244347264,722 1 ST,THORHILD,AB,780-398-3883,,Calgary,AB_Calgary_covid_vaccination_centres.csv
6,6,STURGEON PHARMACY,covid_vaccination_centres,,,150-625 ST ALBERT TR,ST ALBERT,AB,780-569-1722,,Calgary,AB_Calgary_covid_vaccination_centres.csv
7,7,BURNEWOOD SQUARE PHARMACY,covid_vaccination_centres,,,3416 43 AVE NW,EDMONTON,AB,780-757-0098,,Calgary,AB_Calgary_covid_vaccination_centres.csv
8,8,APPLE DRUGS,covid_vaccination_centres,-112.704778943631,52.323887330839,4825 50 ST,STETTLER,AB,403-742-8688,,Calgary,AB_Calgary_covid_vaccination_centres.csv
9,9,LONDON DRUGS #45,covid_vaccination_centres,-113.523632130245,53.547637370297,11704 104 AVE NW,EDMONTON,AB,780-488-2600,https://www.londondrugs.com/covid19,Calgary,AB_Calgary_covid_vaccination_centres.csv
10,10,HEALTHY CHOICE PHARMACY 101,covid_vaccination_centres,-113.638955501271,53.639539141704,9430 MCKENNEY AVE,ST ALBERT,AB,780-460-0579,https://www.hcpedmonton.ca,Calgary,AB_Calgary_covid_vaccination_centres.csv
11,11,CRESCENT DRUGS LTD.,covid_vaccination_centres,-111.974598916588,54.770882569618,10029 101 AVE,LAC LA BICHE,AB,780-623-4059,,Calgary,AB_Calgary_covid_vaccination_centres.csv
12,12,PHARMASAVE BEVERLY,covid_vaccination_centres,-113.399925717115,53.57032061795,3729 118 AVE NW,EDMONTON,AB,780-474-9344,https://pharmasave.com/edmonton-beverly/location/,Calgary,AB_Calgary_covid_vaccination_centres.csv
13,13,MEDHOUSE PHARMACY & TRAVEL CLINIC,covid_vaccination_centres,-115.672300001753,54.142137254261,2B-4439 52 AVE,WHITECOURT,AB,780-779-9900,,Calgary,AB_Calgary_covid_vaccination_centres.csv
14,14,MEDICINE SHOPPE PHARMACY 127,covid_vaccination_centres,-112.813221173083,49.683126226389,1016A 20 ST S,LETHBRIDGE,AB,403-380-3282,https://www.medicineshoppebyhospital.ca,Calgary,AB_Calgary_covid_vaccination_centres.csv
15,15,DRUGSTORE PHARMACY #9021,covid_vaccination_centres,-111.325091464844,54.005315733262,5701 50 AVE,ST PAUL,AB,780-645-7035,https://www.extrafoods.ca/covid19,Calgary,AB_Calgary_covid_vaccination_centres.csv
16,16,PHARMASAVE #364,covid_vaccination_centres,-114.234068781603,50.688597383873,124 CENTRE AVE W,BLACK DIAMOND,AB,,https://pharmasave.com/black-diamond/covid-vaccinations/,Calgary,AB_Calgary_covid_vaccination_centres.csv
17,17,SHOPPERS DRUG MART #2448,covid_vaccination_centres,-113.476514590714,53.424564756072,924 91 ST SW,EDMONTON,AB,780-485-5550,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary,AB_Calgary_covid_vaccination_centres.csv
18,18,SAFEWAY PHARMACY #8928,covid_vaccination_centres,-113.390521685516,53.571622813917,146-3210 118 AVE NW,EDMONTON,AB,780-477-0855,https://www.safeway.ca/vaccine-registration/,Calgary,AB_Calgary_covid_vaccination_centres.csv
19,19,MEDICINE SHOPPE PHARMACY 274,covid_vaccination_centres,-113.524161202349,53.453244283322,831 SADDLEBACK RD NW,EDMONTON,AB,780-435-3345,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-274-7041890,Calgary,AB_Calgary_covid_vaccination_centres.csv
20,20,MEDICINE SHOPPE PHARMACY 390,covid_vaccination_centres,-113.376443459449,53.455095944726,2356 23 AVE NW,EDMONTON,AB,780-485-1378,https://www.medicineshoppe.ca/en/alberta/edmonton/the-medicine-shoppe-pharmacy-390-7028732,Calgary,AB_Calgary_covid_vaccination_centres.csv
21,21,SHOPPERS DRUG MART #350,covid_vaccination_centres,-113.955696303554,51.098037970341,5500 FALSBRIDGE DR NE,CALGARY,AB,403-293-2560,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary,AB_Calgary_covid_vaccination_centres.csv
22,22,SHOPPERS DRUG MART #2311,covid_vaccination_centres,-118.818335357741,55.152181284874,10720 78 AVE,GRANDE PRAIRIE,AB,780-814-9028,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary,AB_Calgary_covid_vaccination_centres.csv
23,23,ALPINE DRUG MART,covid_vaccination_centres,-114.918034857121,52.377331062776,5132 49 ST,ROCKY MOUNTAIN HOUSE,AB,403-845-6904,https://alpinevaluedrugmart.medmeapp.com/schedule,Calgary,AB_Calgary_covid_vaccination_centres.csv
24,24,WEST HEALTH PHARMACY,covid_vaccination_centres,-113.590327663329,53.550704859209,10660 156 ST NW,EDMONTON,AB,780-244-1390,,Calgary,AB_Calgary_covid_vaccination_centres.csv
25,25,LIFECARE PHARMACY,covid_vaccination_centres,-113.618087899443,53.433752289036,1332 WINDERMERE WAY SW,EDMONTON,AB,780-710-7107,,Calgary,AB_Calgary_covid_vaccination_centres.csv
26,26,SAFEWAY PHARMACY #8874,covid_vaccination_centres,-113.323712186619,53.513508954399,985 FIR ST,SHERWOOD PARK,AB,780-467-0153,https://www.safeway.ca/vaccine-registration/,Calgary,AB_Calgary_covid_vaccination_centres.csv
27,27,SAFEWAY PHARMACY #8907,covid_vaccination_centres,-111.373985053452,56.723376621491,9601 FRANKLIN AVE,FORT MCMURRAY,AB,780-790-2388,https://www.safeway.ca/vaccine-registration/,Calgary,AB_Calgary_covid_vaccination_centres.csv
28,28,SHOPPERS DRUG MART #2325,covid_vaccination_centres,-114.455939228236,55.33570302024,300-1500 MAIN ST SW,SLAVE LAKE,AB,780-849-4556,https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19?ShortURL=covid,Calgary,AB_Calgary_covid_vaccination_centres.csv
29,29,WALDINS PHARMACY LTD.,covid_vaccination_centres,-113.469594459312,53.452702924343,9124 23 AVE NW,EDMONTON,AB,780-756-3350,,Calgary,AB_Calgary_covid_vaccination_centres.csv
30,30,WAL-MART PHARMACY #3151,covid_vaccination_centres,-114.060665581292,50.901019934276,100-310 SHAWVILLE BLVD SE,CALGARY,AB,403-201-5426,https://portal.healthmyself.net/walmartab/forms/a66,Calgary,AB_Calgary_covid_vaccination_centres.csv
31,31,LOBLAW PHARMACY #1541,covid_vaccination_centres,-112.789107414996,49.659238907706,3515 MAYOR MAGRATH DR S,LETHBRIDGE,AB,403-331-2535,https://www.realcanadiansuperstore.ca/covid19,Calgary,AB_Calgary_covid_vaccination_centres.csv
32,32,MEDICINE SHOPPE PHARMACY 411,covid_vaccination_centres,-114.012208840625,51.286574660334,3-704 MAIN ST SE,AIRDRIE,AB,403-980-1587,https://www.medicineshoppe.ca/en/alberta/airdrie/the-medicine-shoppe-pharmacy-411-7046160,Calgary,AB_Calgary_covid_vaccination_centres.csv
33,33,MACMILLAN'S PHARMACY,covid_vaccination_centres,-114.974677830623,53.228599951943,108-4930 55 AVE,DRAYTON VALLEY,AB,780-542-5102,,Calgary,AB_Calgary_covid_vaccination_centres.csv
34,34,PACIFIC PLACE PHARMASAVE #393,covid_vaccination_centres,-113.984034880581,51.062295807405,958B-999 36 ST NE,CALGARY,AB,403-768-0202,https://www.pacificplacepharmasave.com,Calgary,AB_Calgary_covid_vaccination_centres.csv
