idx,facility_name,facility_type,alternative_name,street_no,street_name,street_addr,city,province,postal_code,phone,website,provider
0,Guelph Community Health Centre - Downtown location,Community Health Centre,Guelph Community Health Centre - Downtown location,176,Wyndham Street North,176 Wyndham Street North,Guelph,ON,N1H 8N9,519-821-6638,http://www.guelphchc.ca,Guelph
1,"Canadian Mental Health Association, Waterloo Wellington Dufferin",Children and Youth Mental Health,"Canadian Mental Health Association, Waterloo Wellington Dufferin",485,Silvercreek Parkway North,485 Silvercreek Parkway North,Guelph,ON,N1H 7K5,1 844 264 2993 (toll-free phone number),http://www.cmhawwd.ca,Guelph
2,Guelph Community Health Centre - Satellite Clinic,Community Health Centre,Guelph Community Health Centre - Satellite Clinic,20,Shelldale Crescent,20 Shelldale Crescent,Guelph,ON,N1H 1C8,519-821-6638 extension 2,http://www.guelphchc.ca,Guelph
3,Growing Great Kids Guelph-Wellington,Family and Children Services,Growing Great Kids Guelph-Wellington,160,Chancellors Way,160 Chancellors Way,Guelph,ON,N1H 0E1,519-822-2715 extension 3616,,Guelph
4,Family Counselling and Support Services for Guelph Wellington,Family and Children Services,Family Counselling and Support Services for Guelph Wellington,109,Surrey Street East,109 Surrey Street East,Guelph,ON,N1H 3P7,"519-824-2431, 1-800-307-7078",,Guelph
5,Dawson Road Family Medical Clinic,Family Health Teams,Dawson Road Family Medical Clinic,83,Dawson Road,83 Dawson Road,Guelph,ON,N1H 1B1,519-766-1360,http://www.dawsonroadfamilymedicalclinic.com/,Guelph
6,Dawson Road - Dr. Jennifer Caspers,Family Health Teams,Dawson Road - Dr. Jennifer Caspers,83,Dawson Road,83 Dawson Road,Guelph,ON,N1H 1B1,519-767-1512,,Guelph
7,Arbour Family Medical Centre,Family Health Teams,Arbour Family Medical Centre,281,Stone Road East,281 Stone Road East,Guelph,ON,N1G 5J5,519-823-5133,http://www.arbourfamilymedical.com/,Guelph
8,Diabetes Care Guelph,Family Health Teams,Diabetes Care Guelph,83,Dawson Road,83 Dawson Road,Guelph,ON,N1H 1B2,519-840-1964,,Guelph
9,Downey Road,Family Health Teams,Downey Road,115,Downey Road,115 Downey Road,Guelph,ON,N1C 1A2,519-827-9779,,Guelph
10,Guelph North End Family Medical,Family Health Teams,Guelph North End Family Medical,83,Dawson Road,83 Dawson Road,Guelph,ON,N1H 1B1,519-780-0375,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=42,Guelph
11,Norfolk 302,Family Health Teams,Norfolk 302,85,Norfolk Street,85 Norfolk Street,Guelph,ON,N1H 4J4,519-822-1871,,Guelph
12,Hope Health Centre,Family Health Teams,Hope Health Centre,21,Yarmouth Street,21 Yarmouth Street,Guelph,ON,N1H 4G2,519-822-6700,http://www.guelphfht.com/Views/ClinicProfile.aspx?clinicID=1,Guelph
13,Norfolk 305,Family Health Teams,Norfolk 305,85,Norfolk Street,85 Norfolk Street,Guelph,ON,N1H 4J4,519-766-1490,,Guelph
14,Norfolk 311,Family Health Teams,Norfolk 311,86,Norfolk Street,86 Norfolk Street,Guelph,ON,N1H 4J4,519-836-7861,,Guelph
15,Old Quebec 207,Family Health Teams,Old Quebec 207,55,Wyndham Street North,55 Wyndham Street North,Guelph,ON,N1H 7T8,519-836-1455,,Guelph
16,Old Quebec 208,Family Health Teams,Old Quebec 208,55,Wyndham Street North,55 Wyndham Street North,Guelph,ON,N1H 7T8,519-837-2283,,Guelph
17,Victoria Grange,Family Health Teams,Victoria Grange,23,Victoria Road North,23 Victoria Road North,Guelph,ON,N1E 5G6,519-823-2190,,Guelph
