idx,facility_name,facility_type,health_authority,longitude,latitude,phone,email,website,provider
0,Walk-in Clinic,Walk In Medical Clinics,Sunwood Medical Clinic,-122.793127,49.274338,6044640345.0,,,Province of British Columbia
1,Walk-in Clinic,Walk In Medical Clinics,Kerrisdale Medical Clinic,-123.154106,49.233569,6042619494.0,,https://wellclinics.ca/properties/kerrisdale-medical-clinic/,Province of British Columbia
2,Walk-in Clinic,Walk In Medical Clinics,Spring Medical Centre,-123.004908,49.266808,6044281363.0,,https://springmedicalcentre.com/,Province of British Columbia
3,Walk-in Clinic,Walk In Medical Clinics,Abbotsford Village Medical Clinic,-122.269714,49.038729,6045047145.0,,https://www.abbotsfordvillagemedical.com/,Province of British Columbia
4,Walk-in Clinic,Walk In Medical Clinics,Spectrum Medical,-121.958316,49.123775,6048466246.0,,https://spectrumbc.ca/,Province of British Columbia
5,Walk-in Clinic,Walk In Medical Clinics,PrimeCare Medical Centre,-122.951615,49.218846,6045193767.0,,https://www.primecaremedicalcentre.com/walkin-clinic,Province of British Columbia
6,Walk-in Clinic,Walk In Medical Clinics,Valleyview Treatment Centre,-123.607747,48.710695,2507439395.0,,,Province of British Columbia
7,Walk-in Clinic,Walk In Medical Clinics,West Coast Urgent Care Clinic,-124.792035,49.263571,7784211219.0,,,Province of British Columbia
8,Walk-in Clinic,Walk In Medical Clinics,University of Northern British Columbia,-122.808631,53.889353,2509606370.0,wellness@unbc.ca,https://www2.unbc.ca/medical-clinic,Province of British Columbia
9,Walk-in Clinic,Walk In Medical Clinics,Colwood Medical Treatment Centre,-123.470525,48.441188,2504788833.0,,https://www.colwoodmedicaltreatmentcentre.com/walk-in,Province of British Columbia
10,Walk-in Clinic,Walk In Medical Clinics,Saanich Plaza Medical Clinic,-123.374168,48.456348,2504751101.0,,https://saanichplaza.moneomed.com/,Province of British Columbia
11,Walk-in Clinic,Walk In Medical Clinics,Lansdowne Treatment Centre,-123.334011,48.445104,2505924212.0,,https://lansdownemedicalclinic.com/,Province of British Columbia
12,Walk-in Clinic,Walk In Medical Clinics,Commercial Drive Medical Clinic,-123.069667,49.271111,6042555922.0,,,Province of British Columbia
13,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.845564,49.186983,6049510885.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
14,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.78,49.1986,6045828820.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
15,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.888604,49.161098,6045430888.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
16,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.865951,49.176233,6045843531.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
17,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.317111,49.04993,6045579938.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
18,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-123.080931,49.09023,6049400917.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
19,Walk-in Clinic,Walk In Medical Clinics,Denning Health Group,-122.800771,49.16545,6045888181.0,,https://www.denninghealth.ca/find-a-doctor,Province of British Columbia
20,Walk-in Clinic,Walk In Medical Clinics,Whistler Medical Clinic,-122.955147,50.120046,6049323977.0,,http://whistlermedicalclinic.com/,Province of British Columbia
21,Walk-in Clinic,Walk In Medical Clinics,University Village Medical,-123.242117,49.266463,6042222273.0,,http://www.universityvillageclinic.com/medical.html,Province of British Columbia
22,Walk-in Clinic,Walk In Medical Clinics,University Village Medical,-123.235533,49.253464,6042222273.0,,http://www.universityvillageclinic.com/medical.html,Province of British Columbia
23,Walk-in Clinic,Walk In Medical Clinics,Sullivan Medical Clinic,-122.798666,49.104505,6043036342.0,,http://www.sullivanmedicalclinic.com/services/,Province of British Columbia
24,Walk-in Clinic,Walk In Medical Clinics,Shoreline Medical,-123.401503,48.647652,2506564143.0,,https://shorelinemedical.ca/contact/,Province of British Columbia
25,Walk-in Clinic,Walk In Medical Clinics,Shoreline Medical,-123.446966,48.577122,2506529191.0,,https://shorelinemedical.ca/contact/,Province of British Columbia
26,Walk-in Clinic,Walk In Medical Clinics,Burnside Family Medical Clinic,-123.387382,48.45081,2503814353.0,,https://www.burnsideclinic.ca/,Province of British Columbia
27,Walk-in Clinic,Walk In Medical Clinics,Saik'uz First Nation,-124.102601,53.941923,2505679773.0,,https://www.saikuz.com/departments/health-centre,Province of British Columbia
28,Abbotsford Youth Health Centre,Walk In Medical Clinics,Archway Community Services,-122.32308,49.053349,6047463392.0,info@ayhc.ca,http://ayhc.ca/,Province of British Columbia
29,Walk-in Clinic,Walk In Medical Clinics,Hillside Medical Clinic,-119.453356,49.901555,2507636322.0,,https://www.evolvealliedhealth.ca/locations,Province of British Columbia
30,UBC Student Health Services,Walk In Medical Clinics,Vancouver Coastal Health,-123.244259,49.264671,6048227011.0,student.health@ubc.ca,https://students.ubc.ca/health/student-health-service,Province of British Columbia
31,Walk-in Clinic,Walk In Medical Clinics,Northern Health,-119.270254,52.83206,2505669138.0,,https://www.northernhealth.ca/locations/medical-clinics/valemount-health-centre,Province of British Columbia
32,Walk-in Clinic,Walk In Medical Clinics,Northern Health,-133.704315,59.574828,2506517677.0,,https://www.northernhealth.ca/locations/health-units/atlin-heath-centre,Province of British Columbia
33,Walk-in Clinic,Walk In Medical Clinics,Northern Health,-132.151708,54.012317,2506264702.0,,,Province of British Columbia
34,Walk-in Clinic,Walk In Medical Clinics,Canway Medical Centre,-122.98946,49.254122,6044288123.0,,https://www.canwaymedicalcentre.ca/,Province of British Columbia
35,Walk-in Clinic,Walk In Medical Clinics,Care Point Medical and Wellness Clinics,-123.069821,49.270184,6042545554.0,,https://www.carepoint.ca/commercial-drive-vancouver/,Province of British Columbia
36,Walk-in Clinic,Walk In Medical Clinics,Care Point Medical and Wellness Clinics,-123.03206,49.237824,6044360800.0,,https://www.carepoint.ca/joyce-street-vancouver/,Province of British Columbia
37,Walk-in Clinic,Walk In Medical Clinics,Care Point Medical and Wellness Clinics,-123.131466,49.280813,6049159517.0,,https://www.carepoint.ca/davie-street-vancouver/,Province of British Columbia
38,Walk-in Clinic,Walk In Medical Clinics,Care Point Medical and Wellness Clinics,-122.919692,49.21262,6045231166.0,,https://www.carepoint.ca/westminster-centre/,Province of British Columbia
39,Walk-in Clinic,Walk In Medical Clinics,Goldcity Walk-in Clinic,-122.497053,52.98001,2509926006.0,,,Province of British Columbia
40,Walk-in Clinic,Walk In Medical Clinics,Murals Medical Clinic,-122.606243,49.090915,6045329944.0,,https://muralsmedical.com/,Province of British Columbia
41,Walk-in Clinic,Walk In Medical Clinics,Ancron Medical Centre,-117.294835,49.491628,2503529144.0,,https://ancronmedical.com/walk-in-clinic/,Province of British Columbia
42,Walk-in Clinic,Walk In Medical Clinics,Kootenay Lake Medical Clinic,-117.291323,49.498677,2503524666.0,,https://www.nelsonwalkin.com/,Province of British Columbia
43,Walk-in Clinic,Walk In Medical Clinics,Washington Park Medical Clinic,-124.988837,49.698026,2503349241.0,,https://walkinmedicalclinic.com/,Province of British Columbia
44,Walk-in Clinic,Walk In Medical Clinics,Medical Arts Centre,-123.934996,49.163972,2507533431.0,,https://medicalartscentre.com/walk-in-clinic/,Province of British Columbia
45,Walk-in Clinic,Walk In Medical Clinics,North Okanagan Medical Clinic,-119.270357,50.28729,2505458338.0,,,Province of British Columbia
46,Walk-in Clinic,Walk In Medical Clinics,Mount Ida Medical Centre,-119.287604,50.699561,2508331990.0,,,Province of British Columbia
47,Walk-in Clinic,Walk In Medical Clinics,Yates and Quadra Integrated Health Centre,-123.358744,48.42563,2503883080.0,,,Province of British Columbia
