,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,idx,facility_name,health_authority,alternative_name,facility_type,number_beds,latitude,longitude,street_addr,street_no,street_name,city,province,postal_code,phone,website,provider,file_name,filename
0,0,0,0,0,0,1,Arborg Hospital,Interlake-Eastern Regional Health Authority,,Hospital,14,50.90613317,-97.22614387,234 Gislason Drive,,,Arborg,MB,R0C 0A0,204 376 5247,https://www.ierha.ca/default.aspx?cid=6339,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
1,1,1,1,1,1,2,Lakeshore General Hospital,Interlake-Eastern Regional Health Authority,,Hospital,14,51.18035463,-98.35243438,1 Steenson Drive,,,Ashern,MB,R0C 0E0,204 768-2461,https://www.ierha.ca/default.aspx?cid=6340&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
2,2,2,2,2,2,3,Beausejour Hospital,Interlake-Eastern Regional Health Authority,,Hospital,30,50.05803422,-96.51984286,151 First Street S.,,,Beausejour,MB,R0E 0C0,204-268-1076,https://www.ierha.ca/default.aspx?cid=6341&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
3,3,3,3,3,3,4,E M Crowe Memorial Hospital,Interlake-Eastern Regional Health Authority,,Hospital,13,50.86456971,-98.10484243,40 Railway Avenue,,,Eriksdale,MB,R0C 0W0,(204) 739-2611,https://www.ierha.ca/default.aspx?cid=6342&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
4,4,4,4,4,4,5,Gimli Community Health Centre ,Interlake-Eastern Regional Health Authority,Johnson Memorial Hospital,Hospital,26,50.62804599,-96.99390187,120 6th Avenue,,,Gimli,MB,R0C 1B0,(204) 642-5116,https://www.ierha.ca/default.aspx?cid=6343&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
5,5,5,5,5,5,6,Pinawa Hospital,Interlake-Eastern Regional Health Authority,,Hospital,17,50.15144641,-95.88342494,30 Vanier Drive,,,Pinawa,MB,R0E 1L0,204-753-2334,https://www.ierha.ca/default.aspx?cid=6344&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
6,6,6,6,6,6,7,Pine Falls Health Complex,Interlake-Eastern Regional Health Authority,,Hospital,23,50.56353292,-96.21452804,37 Maple Street,,,Pine Falls,MB,R0E 1M0,204-367-4441,https://www.ierha.ca/default.aspx?cid=6345&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
7,7,7,7,7,7,8,Selkirk Regional Health Centre,Interlake-Eastern Regional Health Authority,,Hospital,65,50.15760302,-96.88773526,120 Easton Drive,,,Selkirk,MB,R1A 2M2,204-482-5800,https://www.ierha.ca/default.aspx?cid=6346&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
8,8,8,8,8,8,9,Stonewall & District Health Centre,Interlake-Eastern Regional Health Authority,Dr. Evelyn Memorial Hospital,Hospital,15,50.13122495,-97.33541091,589 3rd Avenue,,,Stonewall,MB,R0C 2Z0,204-467-5514,https://www.ierha.ca/default.aspx?cid=6347&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
9,9,9,9,9,9,10,Hunter Memorial Hospital,Interlake-Eastern Regional Health Authority,,Hospital,20,50.38711057,-97.25450509,162-3rd Ave SE,,,Teulon,MB,R0C 3B0,204-886-2433,https://www.ierha.ca/default.aspx?cid=6348&lang=1,Interlake-Eastern Regional Health Authority,MB_Interlake_health_facilities.csv,MB_Interlake_health_facilities.csv
